SITE_ID,SITE_IGBP,month,TA_F_avg,VPD_F_avg,P_F_avg,NETRAD_avg,NEE_VUT_REF_avg,NEE_VUT_REF_QC_avg,NEE_CUT_REF_avg,NEE_CUT_REF_QC_avg,GPP_NT_VUT_REF_avg,GPP_DT_VUT_REF_avg,GPP_NT_CUT_REF_avg,GPP_DT_CUT_REF_avg,RECO_NT_VUT_REF_avg,RECO_DT_VUT_REF_avg,RECO_NT_CUT_REF_avg,RECO_DT_CUT_REF_avg,ET_avg,BESS_PAR_avg,BESS_PARdiff_avg,BESS_RSDN_avg,CSIF_SIFdaily_avg,CSIF_SIFinst_avg,PET_avg,Ts_avg,Tmean_avg,prcp_avg,vpd_avg,prcp_lag3_avg,ESACCI_sm_avg,b1_avg,b2_avg,b3_avg,b4_avg,b5_avg,b6_avg,b7_avg,EVI_avg,GCI_avg,NDVI_avg,NDWI_avg,NIRv_avg,kNDVI_avg,Percent_Snow_avg,Fpar_avg,Lai_avg,LST_Day_avg,LST_Night_avg,CO2_concentration_avg,dataset,MODIS_LC,MODIS_IGBP,MODIS_PFT,koppen_sub,koppen,hemisphere,LOCATION_LAT,LOCATION_LONG
AR-SLu,MF,11,22.858,16.296,0.81,173.9497797,-6.00411,0.968056,-5.96293,0.970139,10.4461,10.7219,10.2667,10.7466,4.35485,4.69055,4.26435,4.7534,5.8108234,147.0,39.0,322.0,0.10822074,0.26523668,-0.01190903,298.02554,295.46375,0.001110932,1.6364233,0.006051082,0.14072989,0.10894999,0.24585332,0.05752999,0.094583325,0.29778334,0.2814067,0.19225997,0.2331288,1.5993953,0.38592288,-0.06737776,0.09486858,0.14786734,0.0,0.38,0.8,311.82,288.0,388.235,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,12,26.557,23.211,1.452,189.600544,-6.22158,0.956989,-6.21564,0.956989,10.0834,10.7608,9.96545,10.8208,3.69831,4.30853,3.74785,4.52984,5.165505,157.0,38.0,344.0,0.09730604,0.23855111,-0.014495663,303.0575,299.54413,7.41054E-4,2.4140742,0.004382919,0.14455558,0.11138387,0.24245161,0.05899677,0.09506773,0.29779354,0.2889032,0.20476452,0.22321212,1.5519823,0.3706127,-0.08736732,0.08984783,0.1366967,0.0,0.35,0.7,316.2,291.4,388.75,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-Vir,ENF,1,25.919,14.784,1.452,189.1051942,2.4987,0.877016,2.553,0.891129,9.53072,6.34549,9.30065,6.34549,12.2756,6.78025,12.6908,7.10146,9.281486,150.0,47.0,324.0,0.3494609,0.9085131,-0.01105988,301.64825,300.6665,0.001870857,1.7350304,0.009305812,0.26168758,0.06387419,0.3275161,0.031280644,0.070906445,0.3460742,0.2344516,0.11076774,0.44647938,3.620046,0.67362356,0.16564138,0.22062938,0.42500442,0.0,0.69,3.1,309.94,292.14,391.225,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,2,27.029,13.938,2.527,150.5470389,7.44355,0.947557,7.41292,0.954023,9.59927,8.24366,9.19908,8.24366,16.9636,14.1833,15.72,15.1568,6.7530193,121.0,52.0,255.0,0.26720712,0.72544396,-0.00967826,302.7314,301.5807,0.002279734,1.6173695,0.006079263,0.2692186,0.06477931,0.2922965,0.031231033,0.06542069,0.32060343,0.23018274,0.11693103,0.39317164,3.470528,0.6372466,0.1188409,0.18631247,0.38526174,0.0,0.61,2.5,311.02,292.78,391.4,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,3,24.9195,12.4605,3.9145,142.08231355,1.60475,0.858535,1.5817025,0.8817205,13.8881,7.806275,13.31903,7.7112,15.7005,8.65984,14.3857,7.63387,7.2362366,118.0,36.0,254.5,0.313996195,0.88879205,-0.007453259,298.5054,297.933225,0.0027833935,1.10024945,0.010990424,0.29710038,0.0450354815,0.30415484,0.0219370935,0.054498387,0.309704825,0.190743535,0.082679023,0.45933421,4.60410225,0.7404052,0.22903804,0.226034135,0.499046595,0.0,0.745,3.15,305.17,291.36,389.9825,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,4,20.4675,8.387,4.631,85.57819323,1.635354,0.819444,1.5061405,0.838889,10.13185,6.515125,9.814505,6.570175,11.44755,7.297995,11.40915,6.432765,4.9795215,81.0,29.5,173.5,0.26116757,0.76350602,-0.0051999335,293.69821,293.63446,0.004823732,0.68947115,0.011155757,0.320321715,0.0435541665,0.279762505,0.0217666665,0.050094995,0.28902751,0.18101833,0.076498332,0.42847745,4.6103293,0.730016295,0.21436794,0.204560685,0.48761016,0.0,0.715,2.65,299.35,287.34,390.8475,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,5,20.006,7.626,1.224,83.82560482347512,4.8528,0.891801,5.02183,0.90121,5.89162,6.42116,5.75568,7.07354,11.0221,10.2619,11.2361,11.3157,4.509406,72.0,22.0,155.0,0.21216469,0.6418207,-0.004194588,291.5248,291.99167,0.001743921,0.5905777,0.010005684,0.29509848,0.042503223,0.25533545,0.021574194,0.047890324,0.27579996,0.18327098,0.08056129,0.39448062,4.3321667,0.7143966,0.16418244,0.18246947,0.47022924,0.0,0.73,2.3,298.18,285.38,393.19,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,6,15.16,4.068,4.856,37.76854272,5.26425,0.834028,5.36241,0.846528,6.64917,6.29664,6.99431,6.44581,11.8187,7.09799,11.6898,7.98667,2.1825423,49.0,21.0,106.0,0.21136451,0.66069496,-0.002709828,287.3152,287.61026,0.004878097,0.308961,0.010896325,0.37292463,0.04551,0.265645,0.02331833,0.047519993,0.2756,0.17112999,0.071069986,0.29324402477658323,4.5897164,0.7073928,0.21640767,0.18787028,0.46244016,0.0,0.7,2.1,292.0,281.88,390.84,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,7,15.362,4.55,6.061,46.5743705,3.50276,0.80914,3.42835,0.819892,7.68518,6.28015,8.12367,6.42871,11.2728,7.11283,11.0458,8.00337,2.934696,55.0,24.0,119.0,0.18242584,0.5726544,-0.003015079,286.8988,287.3287,0.005048112,0.34641075,0.011951554,0.386298,0.049298387,0.25191775,0.024267739,0.047822576,0.27553546,0.17595968,0.08001129,0.29324402477658323,4.26773,0.6725123,0.17755991,0.16946024,0.42379475,0.0,0.67,2.0,291.5,280.04,390.465,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,8,17.22,6.829,3.84,72.39104898,2.17606,0.886425,2.13632,0.891801,8.49029,7.15995,8.5811,7.31832,10.6443,7.27947,10.6756,8.19088,4.944075,72.0,28.0,158.0,0.18276119,0.54865426,-0.004576981,288.80756,288.95483,0.002513979,0.44519192,0.012440188,0.38348413,0.051193543,0.24463867,0.02522258,0.0491613,0.2748258,0.19289358,0.09262904,0.29324402477658323,3.977813,0.6539308,0.11838274,0.15997273,0.4033405,0.0,0.66,2.2,294.08,282.52,389.56,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
