SITE_ID,dataset,start_year,end_year,path,dup,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent
CA-NS1,AmeriFlux,2001,2005,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-NS1_FLUXNET2015_FULLSET_MM_2001-2005_beta-4.csv,True,ENF,260.0,55.8792,-98.4839,UCI-1850 burn site,27,4,Dfc,Cold,C3,0.0
CA-NS2,AmeriFlux,2001,2005,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-NS2_FLUXNET2015_FULLSET_MM_2001-2005_beta-4.csv,True,ENF,260.0,55.9058,-98.5247,UCI-1930 burn site,27,4,Dfc,Cold,C3,0.0
CA-NS3,AmeriFlux,2001,2005,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-NS3_FLUXNET2015_FULLSET_MM_2001-2005_beta-4.csv,True,ENF,260.0,55.9117,-98.3822,UCI-1964 burn site,27,4,Dfc,Cold,C3,0.0
CA-NS5,AmeriFlux,2001,2005,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-NS5_FLUXNET2015_FULLSET_MM_2001-2005_beta-4.csv,True,ENF,260.0,55.8631,-98.485,UCI-1981 burn site,27,4,Dfc,Cold,C3,0.0
CA-NS6,AmeriFlux,2001,2005,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-NS6_FLUXNET2015_FULLSET_MM_2001-2005_beta-4.csv,True,OSH,244.0,55.9167,-98.9644,UCI-1989 burn site,27,4,Dfc,Cold,C3,0.0
CA-Qc2,AmeriFlux,2007,2010,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-Qc2_FLUXNET2015_FULLSET_MM_2007-2010_beta-4.csv,False,MF,,49.7598,-74.5711,Quebec - 1975 Harvested Black Spruce (HBS75),27,4,Dfc,Cold,C3,0.0
CA-Qfo,AmeriFlux,2003,2010,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-Qfo_FLUXNET2015_FULLSET_MM_2003-2010_beta-4.csv,True,ENF,382.0,49.6925,-74.3421,"Quebec - Eastern Boreal, Mature Black Spruce",27,4,Dfc,Cold,C3,0.0
CA-SF2,AmeriFlux,2001,2006,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-SF2_FLUXNET2015_FULLSET_MM_2001-2006_beta-4.csv,True,ENF,520.0,54.2539,-105.8775,"Saskatchewan - Western Boreal, forest burned in 1989",27,4,Dfc,Cold,C3,0.07
CA-SJ2,AmeriFlux,2002,2010,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-SJ2_FLUXNET2015_FULLSET_MM_2002-2010_beta-5.csv,False,ENF,580.0,53.945,-104.649,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",27,4,Dfc,Cold,C3,0.51
CA-TP4,AmeriFlux,2002,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-TP4_FLUXNET2015_FULLSET_MM_2002-2017_beta-4.csv,True,ENF,184.0,42.7102,-80.3574,Ontario - Turkey Point 1939 Plantation White Pine,26,4,Dfb,Cold,C3,0.0
CA-WP1,AmeriFlux,2003,2009,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-WP1_FLUXNET2015_FULLSET_MM_2003-2009_beta-5.csv,False,WET,540.0,54.9538,-112.467,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",27,4,Dfc,Cold,C3,0.07
CA-WP2,AmeriFlux,2004,2006,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-WP2_FLUXNET2015_FULLSET_MM_2004-2006_beta-5.csv,False,WET,,55.5375,-112.3343,Alberta - Western Peatland - Poor Fen (Sphagnum moss),27,4,Dfc,Cold,C3,0.16
