lr-Adam,step,train_loss_step,epoch,val_loss,val_MAE,val_RMSE,train_loss_epoch
1e-05,0,,,,,,
,49,1.7283260822296143,0,,,,
,99,2.397526502609253,0,,,,
,149,2.020284652709961,0,,,,
,199,1.4423514604568481,0,,,,
,249,1.7654249668121338,0,,,,
,262,,0,1.8560609817504883,1.8819016218185425,2.8249030113220215,
,262,,0,,,,2.3707873821258545
1e-05,263,,,,,,
,299,3.4346632957458496,1,,,,
,349,2.1561713218688965,1,,,,
,399,1.7177585363388062,1,,,,
,449,2.4221208095550537,1,,,,
,499,1.5393933057785034,1,,,,
,525,,1,1.746474266052246,1.8615059852600098,2.794376850128174,
,525,,1,,,,2.2420012950897217
1e-05,526,,,,,,
,549,2.055169105529785,2,,,,
,599,2.0195674896240234,2,,,,
,649,1.972078561782837,2,,,,
,699,2.502619743347168,2,,,,
,749,2.035531997680664,2,,,,
,788,,2,1.6644154787063599,1.8443045616149902,2.771562337875366,
,788,,2,,,,2.1449151039123535
1e-05,789,,,,,,
,799,1.5067144632339478,3,,,,
,849,1.7613630294799805,3,,,,
,899,2.5908451080322266,3,,,,
,949,3.344507932662964,3,,,,
,999,2.302588939666748,3,,,,
,1049,2.7392826080322266,3,,,,
,1051,,3,1.6041228771209717,1.8335082530975342,2.7567150592803955,
,1051,,3,,,,2.0721242427825928
1e-05,1052,,,,,,
,1099,2.4991703033447266,4,,,,
,1149,2.4099814891815186,4,,,,
,1199,2.549870491027832,4,,,,
,1249,2.463651418685913,4,,,,
,1299,1.92362642288208,4,,,,
,1314,,4,1.5623838901519775,1.8270891904830933,2.747257709503174,
,1314,,4,,,,2.0164356231689453
1e-05,1315,,,,,,
,1349,2.483422040939331,5,,,,
,1399,2.3352158069610596,5,,,,
,1449,2.1097044944763184,5,,,,
,1499,1.466385841369629,5,,,,
,1549,1.4818687438964844,5,,,,
,1577,,5,1.5355027914047241,1.8243135213851929,2.742976665496826,
,1577,,5,,,,1.9752020835876465
1e-05,1578,,,,,,
,1599,1.2675795555114746,6,,,,
,1649,2.3739066123962402,6,,,,
,1699,1.7970936298370361,6,,,,
,1749,1.2932404279708862,6,,,,
,1799,2.349156141281128,6,,,,
,1840,,6,1.5186456441879272,1.8227993249893188,2.739866018295288,
,1840,,6,,,,1.9469472169876099
1e-05,1841,,,,,,
,1849,1.6829612255096436,7,,,,
,1899,4.0536417961120605,7,,,,
,1949,1.7002143859863281,7,,,,
,1999,2.025571823120117,7,,,,
,2049,3.058661937713623,7,,,,
,2099,1.9150091409683228,7,,,,
,2103,,7,1.506576657295227,1.8215289115905762,2.737663507461548,
,2103,,7,,,,1.926498532295227
1e-05,2104,,,,,,
,2149,1.486592173576355,8,,,,
,2199,1.1332298517227173,8,,,,
,2249,2.450051784515381,8,,,,
,2299,1.4701054096221924,8,,,,
,2349,2.327329397201538,8,,,,
,2366,,8,1.4972552061080933,1.8196698427200317,2.7354650497436523,
,2366,,8,,,,1.9076228141784668
1e-05,2367,,,,,,
,2399,1.8367010354995728,9,,,,
,2449,1.659270167350769,9,,,,
,2499,1.2562309503555298,9,,,,
,2549,2.20989990234375,9,,,,
,2599,2.1332836151123047,9,,,,
,2629,,9,1.4896881580352783,1.817291021347046,2.7326083183288574,
,2629,,9,,,,1.8964173793792725
1e-05,2630,,,,,,
,2649,3.3305606842041016,10,,,,
,2699,4.489399433135986,10,,,,
,2749,1.0401009321212769,10,,,,
,2799,1.3426637649536133,10,,,,
,2849,1.8069143295288086,10,,,,
,2892,,10,1.4828510284423828,1.8148428201675415,2.729951858520508,
,2892,,10,,,,1.8812061548233032
1e-05,2893,,,,,,
,2899,0.8110842704772949,11,,,,
,2949,0.9843777418136597,11,,,,
,2999,2.123624324798584,11,,,,
,3049,1.1380000114440918,11,,,,
,3099,2.015472412109375,11,,,,
,3149,1.0476534366607666,11,,,,
,3155,,11,1.476814866065979,1.8125914335250854,2.7275331020355225,
,3155,,11,,,,1.8717186450958252
1e-05,3156,,,,,,
,3199,2.2950804233551025,12,,,,
,3249,2.0040018558502197,12,,,,
,3299,1.7868106365203857,12,,,,
,3349,0.6841040253639221,12,,,,
,3399,1.6129177808761597,12,,,,
,3418,,12,1.4711211919784546,1.8102617263793945,2.725008726119995,
,3418,,12,,,,1.863732099533081
1e-05,3419,,,,,,
,3449,2.1116480827331543,13,,,,
,3499,1.3169927597045898,13,,,,
,3549,3.2987215518951416,13,,,,
,3599,1.1697229146957397,13,,,,
,3649,1.8408550024032593,13,,,,
,3681,,13,1.465824842453003,1.8084532022476196,2.72240948677063,
,3681,,13,,,,1.8515422344207764
1e-05,3682,,,,,,
,3699,1.5671123266220093,14,,,,
,3749,2.077258348464966,14,,,,
,3799,1.4764289855957031,14,,,,
,3849,2.0285744667053223,14,,,,
,3899,2.218092203140259,14,,,,
,3944,,14,1.4606622457504272,1.8063874244689941,2.7195982933044434,
,3944,,14,,,,1.8461709022521973
1e-05,3945,,,,,,
,3949,2.2586426734924316,15,,,,
,3999,1.5787265300750732,15,,,,
,4049,2.210041046142578,15,,,,
,4099,1.2418930530548096,15,,,,
,4149,1.765613317489624,15,,,,
,4199,1.6288931369781494,15,,,,
,4207,,15,1.455645203590393,1.8042542934417725,2.7165958881378174,
,4207,,15,,,,1.8386167287826538
1e-05,4208,,,,,,
,4249,2.270620822906494,16,,,,
,4299,2.515554189682007,16,,,,
,4349,1.8385998010635376,16,,,,
,4399,1.852365255355835,16,,,,
,4449,2.850175619125366,16,,,,
,4470,,16,1.4508845806121826,1.8025850057601929,2.7139639854431152,
,4470,,16,,,,1.8291373252868652
1e-05,4471,,,,,,
,4499,1.2378740310668945,17,,,,
,4549,2.4406237602233887,17,,,,
,4599,1.4410407543182373,17,,,,
,4649,2.653547763824463,17,,,,
,4699,1.2795621156692505,17,,,,
,4733,,17,1.4461396932601929,1.8005728721618652,2.7112698554992676,
,4733,,17,,,,1.821926474571228
1e-05,4734,,,,,,
,4749,1.974838376045227,18,,,,
,4799,1.7113405466079712,18,,,,
,4849,1.7832849025726318,18,,,,
,4899,2.343412399291992,18,,,,
,4949,2.27286696434021,18,,,,
,4996,,18,1.4414832592010498,1.7983179092407227,2.7080492973327637,
,4996,,18,,,,1.8152230978012085
1e-05,4997,,,,,,
,4999,0.9810899496078491,19,,,,
,5049,2.3586580753326416,19,,,,
,5099,1.1730748414993286,19,,,,
,5149,2.5605406761169434,19,,,,
,5199,1.4656791687011719,19,,,,
,5249,1.5773228406906128,19,,,,
,5259,,19,1.4368342161178589,1.7959322929382324,2.7045280933380127,
,5259,,19,,,,1.8077255487442017
1e-05,5260,,,,,,
,5299,3.0657687187194824,20,,,,
,5349,2.446803569793701,20,,,,
,5399,1.061471939086914,20,,,,
,5449,1.73898446559906,20,,,,
,5499,1.9959150552749634,20,,,,
,5522,,20,1.4324326515197754,1.794171690940857,2.7012946605682373,
,5522,,20,,,,1.8030140399932861
1e-05,5523,,,,,,
,5549,1.51084566116333,21,,,,
,5599,2.321099042892456,21,,,,
,5649,1.5695359706878662,21,,,,
,5699,2.4127097129821777,21,,,,
,5749,1.060503602027893,21,,,,
,5785,,21,1.4278720617294312,1.7919470071792603,2.6982779502868652,
,5785,,21,,,,1.7960454225540161
1e-05,5786,,,,,,
,5799,2.3003878593444824,22,,,,
,5849,0.9289321303367615,22,,,,
,5899,2.2406294345855713,22,,,,
,5949,1.4876664876937866,22,,,,
,5999,1.688690423965454,22,,,,
,6048,,22,1.4235130548477173,1.7900450229644775,2.6951651573181152,
,6048,,22,,,,1.7869682312011719
1e-05,6049,,,,,,
,6049,1.4156968593597412,23,,,,
,6099,1.6966469287872314,23,,,,
,6149,1.5342360734939575,23,,,,
,6199,1.604036808013916,23,,,,
,6249,1.3050646781921387,23,,,,
,6299,2.0285983085632324,23,,,,
,6311,,23,1.4189506769180298,1.7874187231063843,2.6915433406829834,
,6311,,23,,,,1.7825978994369507
1e-05,6312,,,,,,
,6349,1.6844505071640015,24,,,,
,6399,1.5495110750198364,24,,,,
,6449,1.4492030143737793,24,,,,
,6499,2.1501710414886475,24,,,,
,6549,1.2423385381698608,24,,,,
,6574,,24,1.4146740436553955,1.7853419780731201,2.6884829998016357,
,6574,,24,,,,1.7758243083953857
