lr-Adam,step,train_loss_step,epoch
1e-05,0,,
,49,4.184104919433594,0
,99,3.8230345249176025,0
,149,3.0246870517730713,0
,199,3.624885082244873,0
,249,3.5164899826049805,0
,299,2.230325698852539,0
,349,3.648804187774658,0
,399,3.936393976211548,0
,449,3.2196359634399414,0
,499,2.8035600185394287,0
,549,3.314512014389038,0
,599,3.7866458892822266,0
,649,2.910694122314453,0
,699,2.088254690170288,0
,749,3.434816360473633,0
,799,3.877897262573242,0
,849,3.430746555328369,0
,899,3.831295967102051,0
,949,3.642883777618408,0
,999,4.182388782501221,0
,1049,4.161571979522705,0
,1099,2.380021095275879,0
,1149,3.5291290283203125,0
,1199,3.4813666343688965,0
,1249,3.646768093109131,0
,1299,2.921449661254883,0
,1349,4.161708831787109,0
