index,filename,size,country,site_id,record_count,site_IGBP,site_koppen,start_time,end_time,recorded_date_count
96,data_full_half_hourly_raw_v0_1_AU-RDF.csv,12899946,AU,AU-RDF,29808,WSA,Tropical,9/24/2011 0:00,7/21/2013 23:30,621
97,data_full_half_hourly_raw_v0_1_US-NR1.csv,112936778,US,US-NR1,270768,ENF,Cold,5/2/1999 0:00,12/31/2014 23:30,5641
98,data_full_half_hourly_raw_v0_1_FR-Gri.csv,107330916,FR,FR-Gri,241440,CRO,Temperate,5/15/2004 0:00,12/31/2020 23:30,5030
99,data_full_half_hourly_raw_v0_1_US-Bi2.csv,5043102,US,US-Bi2,11856,CRO,Temperate,4/29/2017 0:00,12/31/2017 23:30,247
100,data_full_half_hourly_raw_v0_1_CZ-Stn.csv,76744598,CZ,CZ-Stn,187872,DBF,Cold,1/1/2010 0:00,12/31/2020 23:30,3914
101,data_full_half_hourly_raw_v0_1_IT-MBo.csv,130550141,IT,IT-MBo,298752,GRA,Cold,1/1/2003 0:00,10/15/2020 23:30,6224
102,data_full_half_hourly_raw_v0_1_DE-Hai.csv,146647181,DE,DE-Hai,348000,DBF,Cold,1/1/2000 0:00,12/31/2020 23:30,7250
103,data_full_half_hourly_raw_v0_1_GH-Ank.csv,12612868,GH,GH-Ank,34896,EBF,Tropical,2/10/2011 0:00,12/4/2014 23:30,727
104,data_full_half_hourly_raw_v0_1_CA-NS1.csv,22582332,CA,CA-NS1,54336,ENF,Cold,6/26/2002 0:00,9/25/2005 23:30,1132
105,data_full_half_hourly_raw_v0_1_DE-Tha.csv,172205243,DE,DE-Tha,420480,ENF,Cold,6/30/1996 0:00,12/10/2020 23:30,8760
106,data_full_half_hourly_raw_v0_1_US-Rms.csv,23163316,US,US-Rms,52944,CSH,Cold,9/16/2014 0:00,12/31/2017 23:30,1103
107,data_full_half_hourly_raw_v0_1_US-Bi1.csv,10061313,US,US-Bi1,23616,CRO,Temperate,8/13/2016 0:00,12/31/2017 23:30,492
108,data_full_half_hourly_raw_v0_1_US-Wjs.csv,76127948,US,US-Wjs,177168,SAV,Arid,5/5/2007 0:00,12/31/2017 23:30,3691
109,data_full_half_hourly_raw_v0_1_IT-PT1.csv,20612556,IT,IT-PT1,45264,DBF,Temperate,3/23/2002 0:00,10/20/2004 23:30,943
110,data_full_half_hourly_raw_v0_1_CN-Sw2.csv,8160681,CN,CN-Sw2,19200,GRA,Arid,12/20/2010 0:00,1/23/2012 23:30,400
111,data_full_half_hourly_raw_v0_1_SE-Deg.csv,139158505,SE,SE-Deg,328176,WET,Cold,1/1/2001 0:00,12/31/2020 23:30,6837
112,data_full_half_hourly_raw_v0_1_CA-NS2.csv,24258916,CA,CA-NS2,58368,ENF,Cold,7/25/2001 0:00,8/21/2005 23:30,1216
113,data_full_half_hourly_raw_v0_1_CA-NS3.csv,29998100,CA,CA-NS3,72960,ENF,Cold,7/26/2001 0:00,9/22/2005 23:30,1520
114,data_full_half_hourly_raw_v0_1_US-SRG.csv,78642860,US,US-SRG,171312,GRA,Arid,3/10/2008 0:00,12/31/2017 23:30,3569
115,data_full_half_hourly_raw_v0_1_US-Ivo.csv,23981127,US,US-Ivo,55536,WET,Cold,1/1/2004 0:00,10/4/2007 23:30,1157
116,data_full_half_hourly_raw_v0_1_AU-Rig.csv,27889000,AU,AU-Rig,63648,GRA,Temperate,1/1/2011 0:00,12/31/2014 23:30,1326
117,data_full_half_hourly_raw_v0_1_IT-SR2.csv,61127288,IT,IT-SR2,133920,ENF,Temperate,1/1/2013 0:00,12/31/2020 23:30,2790
118,data_full_half_hourly_raw_v0_1_IT-Tor.csv,88055350,IT,IT-Tor,212592,GRA,Cold,6/22/2008 0:00,12/31/2020 23:30,4429
119,data_full_half_hourly_raw_v0_1_US-Ro6.csv,7332010,US,US-Ro6,17520,CRO,Cold,1/1/2017 0:00,12/31/2017 23:30,365
120,data_full_half_hourly_raw_v0_1_US-Goo.csv,29443874,US,US-Goo,68064,GRA,Temperate,5/7/2002 0:00,12/31/2006 23:30,1418
121,data_full_half_hourly_raw_v0_1_US-Wi2.csv,1369401,US,US-Wi2,3456,ENF,Cold,5/23/2003 0:00,12/31/2003 23:30,72
122,data_full_half_hourly_raw_v0_1_CN-Cha.csv,17125630,CN,CN-Cha,43680,MF,Cold,1/1/2003 0:00,12/4/2005 23:30,910
123,data_full_half_hourly_raw_v0_1_US-Vcp.csv,72934242,US,US-Vcp,174528,ENF,Cold,1/1/2007 0:00,12/31/2017 23:30,3636
124,data_full_half_hourly_raw_v0_1_AU-ASM.csv,32588027,AU,AU-ASM,74496,SAV,Arid,9/3/2010 0:00,12/31/2014 23:30,1552
125,data_full_half_hourly_raw_v0_1_US-Dk3.csv,49651642,US,US-Dk3,121200,ENF,Temperate,5/2/2001 0:00,12/31/2008 23:30,2525
126,data_full_half_hourly_raw_v0_1_CN-Ha2.csv,18870779,CN,CN-Ha2,45792,WET,Cold,1/15/2003 0:00,12/31/2005 23:30,954
127,data_full_half_hourly_raw_v0_1_CA-WP1.csv,43939582,CA,CA-WP1,107520,WET,Cold,8/1/2003 0:00,9/30/2009 23:30,2240
128,data_full_half_hourly_raw_v0_1_US-FR2.csv,29333731,US,US-FR2,65520,WSA,Temperate,1/1/2005 0:00,12/31/2008 23:30,1365
129,data_full_half_hourly_raw_v0_1_US-Dk2.csv,53664947,US,US-Dk2,126336,DBF,Temperate,5/19/2001 0:00,12/31/2008 23:30,2632
130,data_full_half_hourly_raw_v0_1_AU-Ade.csv,10951700,AU,AU-Ade,26640,WSA,Tropical,10/17/2007 0:00,5/22/2009 23:30,555
131,data_full_half_hourly_raw_v0_1_DE-Akm.csv,43603944,DE,DE-Akm,108432,WET,Cold,11/1/2009 0:00,10/3/2020 23:30,2259
132,data_full_half_hourly_raw_v0_1_FR-FBn.csv,92065342,FR,FR-FBn,220560,MF,Temperate,1/15/2008 0:00,12/31/2020 23:30,4595
133,data_full_half_hourly_raw_v0_1_US-Pnp.csv,9484878,US,US-Pnp,25968,WAT,Cold,6/24/2016 0:00,12/31/2017 23:30,541
134,data_full_half_hourly_raw_v0_1_US-Wi3.csv,9301876,US,US-Wi3,21360,DBF,Cold,5/8/2002 0:00,12/12/2004 23:30,445
135,data_full_half_hourly_raw_v0_1_AU-Lox.csv,5581061,AU,AU-Lox,14064,DBF,Arid,8/20/2008 0:00,6/8/2009 23:30,293
136,data_full_half_hourly_raw_v0_1_FR-LBr.csv,76748750,FR,FR-LBr,182064,ENF,Temperate,7/12/1996 0:00,12/31/2008 23:30,3793
137,data_full_half_hourly_raw_v0_1_SE-Ros.csv,47093878,SE,SE-Ros,111216,ENF,Cold,7/23/2014 0:00,12/31/2020 23:30,2317
138,data_full_half_hourly_raw_v0_1_CA-Man.csv,65773410,CA,CA-Man,180576,ENF,Cold,4/11/1994 0:00,11/4/2008 23:30,3762
139,data_full_half_hourly_raw_v0_1_DE-Gri.csv,120679560,DE,DE-Gri,283536,GRA,Cold,1/1/2004 0:00,12/31/2020 23:30,5907
140,data_full_half_hourly_raw_v0_1_US-Ro5.csv,7224928,US,US-Ro5,17520,CRO,Cold,1/1/2017 0:00,12/31/2017 23:30,365
141,data_full_half_hourly_raw_v0_1_CA-Cbo.csv,94426217,CA,CA-Cbo,238944,DBF,Cold,12/26/1997 0:00,12/31/2014 23:30,4978
142,data_full_half_hourly_raw_v0_1_US-IB2.csv,53795158,US,US-IB2,124560,GRA,Cold,10/7/2004 0:00,12/31/2011 23:30,2595
143,data_full_half_hourly_raw_v0_1_AU-Wom.csv,36264406,AU,AU-Wom,83856,EBF,Temperate,1/23/2010 0:00,12/31/2014 23:30,1747
144,data_full_half_hourly_raw_v0_1_US-Wi1.csv,2841430,US,US-Wi1,7008,DBF,Cold,5/24/2003 0:00,12/8/2003 23:30,146
145,data_full_half_hourly_raw_v0_1_DE-Geb.csv,151108450,DE,DE-Geb,346656,CRO,Cold,1/17/2001 0:00,12/31/2020 23:30,7222
146,data_full_half_hourly_raw_v0_1_US-Twt.csv,40246042,US,US-Twt,88848,CRO,Temperate,4/4/2009 0:00,12/31/2014 23:30,1851
147,data_full_half_hourly_raw_v0_1_BR-Sa3.csv,22957962,BR,BR-Sa3,62352,EBF,Tropical,6/30/2000 0:00,3/13/2004 23:30,1299
148,data_full_half_hourly_raw_v0_1_SD-Dem.csv,17224643,SD,SD-Dem,38832,SAV,Arid,1/30/2005 0:00,12/1/2009 23:30,809
149,data_full_half_hourly_raw_v0_1_CA-WP3.csv,7206117,CA,CA-WP3,17184,WET,Cold,5/15/2004 0:00,10/16/2006 23:30,358
150,data_full_half_hourly_raw_v0_1_ES-Amo.csv,35999834,ES,ES-Amo,78576,OSH,Arid,7/3/2007 0:00,12/31/2012 23:30,1637
151,data_full_half_hourly_raw_v0_1_US-OWC.csv,4547681,US,US-OWC,12144,WET,Cold,7/18/2015 0:00,10/21/2016 23:30,253
152,data_full_half_hourly_raw_v0_1_DE-Hte.csv,59752741,DE,DE-Hte,141696,WET,Temperate,1/1/2009 0:00,12/1/2018 23:30,2952
153,data_full_half_hourly_raw_v0_1_US-Dk1.csv,49402459,US,US-Dk1,115104,GRA,Temperate,5/2/2001 0:00,12/31/2008 23:30,2398
154,data_full_half_hourly_raw_v0_1_CA-WP2.csv,9330219,CA,CA-WP2,22464,WET,Cold,5/1/2004 0:00,10/31/2006 23:30,468
155,data_full_half_hourly_raw_v0_1_US-Tw4.csv,27778176,US,US-Tw4,59808,WET,Temperate,11/27/2013 0:00,12/31/2017 23:30,1246
156,data_full_half_hourly_raw_v0_1_AU-Fog.csv,19426192,AU,AU-Fog,45264,WET,Tropical,2/7/2006 0:00,10/31/2008 23:30,943
157,data_full_half_hourly_raw_v0_1_CA-Qfo.csv,52802868,CA,CA-Qfo,121104,ENF,Cold,8/31/2003 0:00,12/31/2010 23:30,2523
158,data_full_half_hourly_raw_v0_1_US-Wi0.csv,4200221,US,US-Wi0,10272,ENF,Cold,4/27/2002 0:00,12/14/2002 23:30,214
159,data_full_half_hourly_raw_v0_1_US-Rws.csv,24758556,US,US-Rws,55200,OSH,Arid,10/3/2014 0:00,12/31/2017 23:30,1150
160,data_full_half_hourly_raw_v0_1_US-Ro4.csv,28134410,US,US-Ro4,62592,GRA,Cold,1/1/2014 0:00,12/31/2017 23:30,1304
161,data_full_half_hourly_raw_v0_1_IT-SRo.csv,94044761,IT,IT-SRo,218544,ENF,Temperate,1/1/1999 0:00,12/31/2012 23:30,4553
162,data_full_half_hourly_raw_v0_1_NL-Loo.csv,144465890,NL,NL-Loo,353760,ENF,Temperate,7/22/1996 0:00,9/11/2018 23:30,7370
163,data_full_half_hourly_raw_v0_1_US-Wi4.csv,13707542,US,US-Wi4,31296,ENF,Cold,5/8/2002 0:00,11/7/2005 23:30,652
164,data_full_half_hourly_raw_v0_1_US-GLE.csv,66578575,US,US-GLE,156672,ENF,Cold,4/25/2005 0:00,12/31/2014 23:30,3264
165,data_full_half_hourly_raw_v0_1_ES-LgS.csv,19346555,ES,ES-LgS,43728,OSH,Cold,1/1/2007 0:00,12/31/2009 23:30,911
166,data_full_half_hourly_raw_v0_1_AU-Ync.csv,11644158,AU,AU-Ync,26592,GRA,Arid,10/25/2012 0:00,12/31/2014 23:30,554
167,data_full_half_hourly_raw_v0_1_AU-Wac.csv,21467041,AU,AU-Wac,49392,EBF,Temperate,8/26/2005 0:00,12/31/2008 23:30,1029
168,data_full_half_hourly_raw_v0_1_IT-CA3.csv,21222752,IT,IT-CA3,46512,DBF,Temperate,11/14/2011 0:00,11/30/2014 23:30,969
169,data_full_half_hourly_raw_v0_1_AU-Cpr.csv,31569504,AU,AU-Cpr,72384,SAV,Arid,8/1/2010 0:00,12/31/2014 23:30,1508
170,data_full_half_hourly_raw_v0_1_CN-Dan.csv,12822510,CN,CN-Dan,33600,GRA,Arid,1/14/2004 0:00,12/31/2005 23:30,700
171,data_full_half_hourly_raw_v0_1_BE-Maa.csv,33614924,BE,BE-Maa,80736,CSH,Temperate,1/1/2016 0:00,12/31/2020 23:30,1682
172,data_full_half_hourly_raw_v0_1_ES-Cnd.csv,29195813,ES,ES-Cnd,69456,EBF,Arid,11/28/2014 0:00,12/31/2020 23:30,1447
