encoder_timestep,month,hour,gap_flag_month,gap_flag_hour,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,BESS-RSDN,relative_time_idx,attn_time
-168.0,0.02711225487291813,0.0481509193778038,0.04282337799668312,0.21694572269916534,0.07176962494850159,0.07758746296167374,0.05234392359852791,0.08502697944641113,0.01382993534207344,0.0597299300134182,0.16091972589492798,0.0570879802107811,0.018277619034051895,0.052136942744255066,0.016257664188742638,0.007342874072492123
-167.0,0.027110425755381584,0.0481572188436985,0.042837515473365784,0.2170887589454651,0.07173962146043777,0.077611044049263,0.05232931673526764,0.08502767235040665,0.013821440748870373,0.0596749410033226,0.16080880165100098,0.05708600953221321,0.018268022686243057,0.05216376110911369,0.016275417059659958,0.006864454131573439
-166.0,0.027108587324619293,0.04816356673836708,0.04285178333520889,0.2172321081161499,0.07170959562063217,0.07763471454381943,0.05231470242142677,0.08502866327762604,0.013812950812280178,0.059620581567287445,0.16069631278514862,0.057084131985902786,0.01825844869017601,0.052190616726875305,0.016293203458189964,0.0065424018539488316
-12.0,0.026689643040299416,0.04886074736714363,0.044825658202171326,0.23722872138023376,0.06730917096138,0.08095359057188034,0.04976104572415352,0.0846877470612526,0.012561449781060219,0.05198425427079201,0.14424452185630798,0.05718408152461052,0.017048746347427368,0.056964438408613205,0.019696194678544998,0.006487017963081598
-11.0,0.026686349883675575,0.04886283352971077,0.044836729764938354,0.23734217882156372,0.06728223711252213,0.08097312599420547,0.0497424453496933,0.08468274027109146,0.012553677894175053,0.051940131932497025,0.14414428174495697,0.05718802288174629,0.017042532563209534,0.05699949711561203,0.019723230972886086,0.006473067216575146
-13.0,0.02669290080666542,0.0488593764603138,0.04481462761759758,0.2371150553226471,0.0673360601067543,0.08093421906232834,0.049779679626226425,0.08469301462173462,0.012569240294396877,0.0520285964012146,0.14434371888637543,0.057180117815732956,0.01705504022538662,0.05692916363477707,0.019669216126203537,0.006444427650421858
-10.0,0.026683056727051735,0.04886474832892418,0.044847723096609116,0.23745527863502502,0.06725521385669708,0.08099262416362762,0.04972390830516815,0.08467763662338257,0.012545912526547909,0.05189597234129906,0.14404471218585968,0.05719202011823654,0.017036251723766327,0.05703462287783623,0.019750339910387993,0.006407993845641613
-14.0,0.02669616788625717,0.04885803163051605,0.0448036715388298,0.23700135946273804,0.06736279278993607,0.08091483265161514,0.04979829490184784,0.08469835668802261,0.01257705595344305,0.052072782069444656,0.14444275200366974,0.05717620253562927,0.017061330378055573,0.05689408630132675,0.019642299041152,0.006382914260029793
-20.0,0.026715245097875595,0.048843394964933395,0.04473758488893509,0.23631465435028076,0.0675257071852684,0.08079826831817627,0.049908775836229324,0.08472876250743866,0.012623979710042477,0.052341338247060776,0.1450434923171997,0.05715324729681015,0.017099134624004364,0.0566844567656517,0.019481968134641647,0.006378217600286007
-21.0,0.026718446984887123,0.04884061589837074,0.044726163148880005,0.23619914054870605,0.06755322217941284,0.08077878504991531,0.04992702603340149,0.08473336696624756,0.012631856836378574,0.05238667130470276,0.14514435827732086,0.057149697095155716,0.017105599865317345,0.05664942041039467,0.019455594941973686,0.006371971219778061
-19.0,0.026712078601121902,0.04884590208530426,0.0447489395737648,0.23643001914024353,0.06749815493822098,0.08081762492656708,0.04989047721028328,0.0847238153219223,0.012616117484867573,0.05229611322283745,0.1449430137872696,0.05715697631239891,0.017092742025852203,0.05671953409910202,0.019508494064211845,0.006357102654874325
-9.0,0.02667977660894394,0.04886684566736221,0.04485876485705376,0.2375679910182953,0.06722795963287354,0.08101207762956619,0.049705442041158676,0.08467251062393188,0.012538149952888489,0.05185180902481079,0.1439451277256012,0.05719606950879097,0.01702994666993618,0.05706997588276863,0.01977752149105072,0.006354156415909529
-22.0,0.026721645146608353,0.048837728798389435,0.044714756309986115,0.23608386516571045,0.06758084148168564,0.08075926452875137,0.04994526877999306,0.0847381129860878,0.012639745138585567,0.052432116121053696,0.1452445685863495,0.057146139442920685,0.017112139612436295,0.05661448463797569,0.019429314881563187,0.0063415332697331905
-1.0,0.026653578504920006,0.048885323107242584,0.04494709149003029,0.23846440017223358,0.06700825691223145,0.081166572868824,0.04955710098147392,0.08463069051504135,0.012475907802581787,0.0514964759349823,0.1431511789560318,0.057230692356824875,0.01698029786348343,0.057355161756277084,0.019997265189886093,0.006337075959891081
-15.0,0.026699380949139595,0.048855699598789215,0.04479295760393143,0.23688799142837524,0.06738915294408798,0.08089549839496613,0.04981686919927597,0.08470368385314941,0.012584840878844261,0.05211685970425606,0.14454279839992523,0.05717231705784798,0.017067525535821915,0.05685906857252121,0.019615380093455315,0.006328122690320015
-18.0,0.02670888416469097,0.04884832352399826,0.04476010426878929,0.23654505610466003,0.06747084856033325,0.08083711564540863,0.04987207055091858,0.08471868932247162,0.012608240358531475,0.05225098133087158,0.14484313130378723,0.05716070160269737,0.017086321488022804,0.05675442889332771,0.01953507773578167,0.0063265650533139706
-8.0,0.02667650580406189,0.048869114369153976,0.044869691133499146,0.2376808524131775,0.06720083206892014,0.08103153109550476,0.04968684911727905,0.0846671313047409,0.01253042183816433,0.05180782079696655,0.143845334649086,0.05720016732811928,0.01702367514371872,0.05710528418421745,0.01980479806661606,0.006314849480986595
-23.0,0.026724863797426224,0.04883473739027977,0.04470334202051163,0.23596803843975067,0.06760840862989426,0.08073952794075012,0.049963489174842834,0.08474268764257431,0.012647624127566814,0.052477795630693436,0.14534536004066467,0.05714264139533043,0.017118753865361214,0.05657971650362015,0.019403070211410522,0.0063094752840697765
