data_type,0,1,2,3,site_id
H_F_MDS_QC,226736,60632,994,22,CH-Lae
NEE_VUT_REF_QC,89467,183615,14415,887,CH-Lae
NEE_CUT_REF_QC,94121,180453,12672,1138,CH-Lae
TA_F_QC,234618,3356,1642,0,ES-LJu
SW_IN_F_QC,230126,1421,8069,0,ES-LJu
LW_IN_F_QC,0,0,239616,0,ES-LJu
VPD_F_QC,227728,7392,4496,0,ES-LJu
P_F_QC,209448,0,30168,0,ES-LJu
PA_F_QC,229143,0,10473,0,ES-LJu
G_F_MDS_QC,233686,3443,1457,1030,ES-LJu
LE_F_MDS_QC,199073,37078,2609,856,ES-LJu
H_F_MDS_QC,217577,18929,2273,837,ES-LJu
NEE_VUT_REF_QC,105053,125237,7594,1732,ES-LJu
NEE_CUT_REF_QC,108549,121605,7291,2171,ES-LJu
TA_F_QC,385754,9970,4594,7154,FI-Hyy
SW_IN_F_QC,402073,1267,4132,0,FI-Hyy
LW_IN_F_QC,167226,6634,233612,0,FI-Hyy
VPD_F_QC,324133,26799,49386,7154,FI-Hyy
P_F_QC,370634,0,19270,0,FI-Hyy
PA_F_QC,381522,0,8382,0,FI-Hyy
G_F_MDS_QC,233156,29209,3016,3372,FI-Hyy
LE_F_MDS_QC,350420,54003,2982,67,FI-Hyy
H_F_MDS_QC,353795,50807,2801,69,FI-Hyy
NEE_VUT_REF_QC,187212,208953,10958,349,FI-Hyy
NEE_CUT_REF_QC,189339,207207,10564,362,FI-Hyy
TA_F_QC,290263,1175,6402,0,IT-Lav
SW_IN_F_QC,293731,2030,2079,0,IT-Lav
LW_IN_F_QC,290245,1192,6403,0,IT-Lav
VPD_F_QC,290258,1180,6402,0,IT-Lav
P_F_QC,229477,0,50795,0,IT-Lav
PA_F_QC,215978,0,64294,0,IT-Lav
G_F_MDS_QC,272042,970,2196,3306,IT-Lav
LE_F_MDS_QC,167458,125506,4045,831,IT-Lav
H_F_MDS_QC,185770,107483,3779,808,IT-Lav
NEE_VUT_REF_QC,103368,182631,10598,1243,IT-Lav
NEE_CUT_REF_QC,101168,184725,10729,1218,IT-Lav
