,start,end,duration_days,site_id
7,2011-07-18 00:00:00,2013-05-30 23:30:00,683,US-Vcp
8,2013-08-07 00:00:00,2013-11-28 23:30:00,114,US-Vcp
9,2013-12-18 00:00:00,2013-12-18 23:30:00,1,US-Vcp
10,2013-12-29 00:00:00,2015-09-15 23:30:00,626,US-Vcp
11,2015-11-03 00:00:00,2016-01-11 23:30:00,70,US-Vcp
12,2016-01-22 00:00:00,2016-11-01 23:30:00,285,US-Vcp
13,2016-11-16 00:00:00,2017-11-12 23:30:00,362,US-Vcp
14,2017-12-03 00:00:00,2017-12-31 23:30:00,29,US-Vcp
0,2004-04-09 00:00:00,2012-11-14 23:30:00,3142,CH-Lae
1,2012-11-25 00:00:00,2017-12-21 23:30:00,1853,CH-Lae
2,2018-01-09 00:00:00,2018-05-19 23:30:00,131,CH-Lae
3,2018-06-08 00:00:00,2019-08-31 23:30:00,450,CH-Lae
4,2019-09-12 00:00:00,2019-11-03 23:30:00,53,CH-Lae
5,2019-11-20 00:00:00,2020-08-01 23:30:00,256,CH-Lae
6,2020-08-17 00:00:00,2020-12-17 23:30:00,123,CH-Lae
0,2005-01-01 00:00:00,2005-01-06 23:30:00,6,ES-LJu
1,2005-06-18 00:00:00,2005-07-30 23:30:00,43,ES-LJu
2,2005-08-11 00:00:00,2006-03-24 23:30:00,226,ES-LJu
3,2006-04-06 00:00:00,2006-07-15 23:30:00,101,ES-LJu
4,2006-07-28 00:00:00,2006-11-05 23:30:00,101,ES-LJu
5,2006-12-21 00:00:00,2007-01-11 23:30:00,22,ES-LJu
6,2007-02-16 00:00:00,2007-10-30 23:30:00,257,ES-LJu
7,2007-11-22 00:00:00,2007-11-29 23:30:00,8,ES-LJu
8,2007-12-24 00:00:00,2008-01-15 23:30:00,23,ES-LJu
9,2008-02-18 00:00:00,2008-11-20 23:30:00,277,ES-LJu
10,2008-12-12 00:00:00,2009-11-25 23:30:00,349,ES-LJu
11,2009-12-06 00:00:00,2010-01-28 23:30:00,54,ES-LJu
12,2010-03-18 00:00:00,2012-12-30 23:30:00,1019,ES-LJu
13,2013-01-10 00:00:00,2015-02-02 23:30:00,754,ES-LJu
14,2015-03-26 00:00:00,2016-12-01 23:30:00,617,ES-LJu
15,2017-03-29 00:00:00,2017-05-08 23:30:00,41,ES-LJu
16,2017-05-24 00:00:00,2017-07-26 23:30:00,64,ES-LJu
17,2017-08-09 00:00:00,2017-10-11 23:30:00,64,ES-LJu
18,2017-12-03 00:00:00,2018-09-25 23:30:00,297,ES-LJu
19,2018-11-25 00:00:00,2019-01-27 23:30:00,64,ES-LJu
20,2019-03-12 00:00:00,2019-05-14 23:30:00,64,ES-LJu
21,2019-06-26 00:00:00,2019-07-05 23:30:00,10,ES-LJu
22,2019-12-13 00:00:00,2020-07-07 23:30:00,208,ES-LJu
23,2020-08-04 00:00:00,2020-09-03 23:30:00,31,ES-LJu
24,2020-09-16 00:00:00,2020-12-31 23:30:00,107,ES-LJu
0,1996-06-18 00:00:00,1996-08-06 23:30:00,50,FI-Hyy
1,1996-08-18 00:00:00,1997-05-09 23:30:00,265,FI-Hyy
2,1997-05-20 00:00:00,1999-06-06 23:30:00,748,FI-Hyy
3,1999-06-21 00:00:00,2000-01-03 23:30:00,197,FI-Hyy
4,2000-03-01 00:00:00,2001-12-20 23:30:00,660,FI-Hyy
5,2002-01-04 00:00:00,2002-08-05 23:30:00,214,FI-Hyy
6,2002-08-27 00:00:00,2002-11-27 23:30:00,93,FI-Hyy
7,2002-12-10 00:00:00,2005-10-10 23:30:00,1036,FI-Hyy
8,2006-01-08 00:00:00,2006-02-04 23:30:00,28,FI-Hyy
9,2006-02-15 00:00:00,2010-01-11 23:30:00,1427,FI-Hyy
10,2010-01-28 00:00:00,2010-05-30 23:30:00,123,FI-Hyy
11,2010-06-20 00:00:00,2012-07-08 23:30:00,750,FI-Hyy
12,2012-07-24 00:00:00,2016-10-06 23:30:00,1536,FI-Hyy
13,2016-11-04 00:00:00,2017-01-06 23:30:00,64,FI-Hyy
14,2017-02-15 00:00:00,2017-12-18 23:30:00,307,FI-Hyy
15,2018-04-16 00:00:00,2020-12-31 23:30:00,991,FI-Hyy
0,2003-01-01 00:00:00,2005-01-23 23:30:00,754,IT-Lav
1,2005-02-05 00:00:00,2011-09-15 23:30:00,2414,IT-Lav
2,2011-10-04 00:00:00,2011-10-13 23:30:00,10,IT-Lav
3,2011-11-17 00:00:00,2012-03-22 23:30:00,127,IT-Lav
4,2012-04-02 00:00:00,2012-05-15 23:30:00,44,IT-Lav
5,2012-05-29 00:00:00,2012-07-26 23:30:00,59,IT-Lav
6,2012-08-22 00:00:00,2012-09-01 23:30:00,11,IT-Lav
7,2012-09-14 00:00:00,2012-09-22 23:30:00,9,IT-Lav
8,2012-10-05 00:00:00,2012-10-07 23:30:00,3,IT-Lav
9,2012-10-19 00:00:00,2012-12-24 23:30:00,67,IT-Lav
10,2013-01-04 00:00:00,2014-01-19 23:30:00,381,IT-Lav
11,2014-03-09 00:00:00,2014-04-19 23:30:00,42,IT-Lav
12,2014-05-02 00:00:00,2014-11-06 23:30:00,189,IT-Lav
13,2014-11-17 00:00:00,2014-12-19 23:30:00,33,IT-Lav
14,2015-01-03 00:00:00,2015-03-10 23:30:00,67,IT-Lav
15,2015-04-12 00:00:00,2015-08-31 23:30:00,142,IT-Lav
16,2015-09-15 00:00:00,2017-04-03 23:30:00,567,IT-Lav
17,2017-04-24 00:00:00,2018-01-11 23:30:00,263,IT-Lav
18,2018-01-25 00:00:00,2018-11-14 23:30:00,294,IT-Lav
19,2018-12-12 00:00:00,2019-06-18 23:30:00,189,IT-Lav
20,2019-07-11 00:00:00,2020-12-31 23:30:00,540,IT-Lav
