Fold_No,RMSE,MAE,R2,LOSS_SD,filename
1,3.7216214226009274,1.9996042727693446,0.7064755639264653,3.7194597449510964,model_cv1.pkl
2,3.9191533216703376,2.010072388970888,0.6380114954435103,3.901342909631197,model_cv2.pkl
3,3.938309367018,2.094510517710286,0.699627975017231,3.930689684876585,model_cv3.pkl
4,3.6337025311760636,2.0304558405726003,0.7393944029328838,3.633632281775216,model_cv4.pkl
