lr-Adam,step,train_loss_step,epoch
1e-05,0,,
,49,4.880453586578369,0
,99,2.8754611015319824,0
,149,5.109457969665527,0
,199,3.7621326446533203,0
,249,4.609078407287598,0
,299,4.183122158050537,0
,349,4.092469215393066,0
,399,4.2031426429748535,0
,449,4.493723392486572,0
,499,3.2172553539276123,0
,549,3.8594985008239746,0
,599,4.1813130378723145,0
,649,3.7443630695343018,0
,699,2.9241786003112793,0
,749,2.277050256729126,0
,799,4.406292915344238,0
,849,3.516904830932617,0
,899,3.7903008460998535,0
,949,3.2197861671447754,0
,999,2.6223974227905273,0
,1049,3.075864315032959,0
,1099,3.2441773414611816,0
,1149,3.364811897277832,0
,1199,2.735996723175049,0
,1249,2.3169760704040527,0
,1299,2.692145347595215,0
,1349,3.5301332473754883,0
,1399,3.4209721088409424,0
,1449,5.054198741912842,0
,1499,3.08857798576355,0
,1549,4.160930156707764,0
,1599,4.29353141784668,0
,1649,3.8193459510803223,0
,1699,3.4962732791900635,0
,1749,2.5673279762268066,0
,1799,3.0415589809417725,0
,1849,2.6768789291381836,0
,1899,2.8052003383636475,0
,1949,2.2119932174682617,0
,1999,2.607081413269043,0
,2049,2.2204082012176514,0
,2099,2.2648634910583496,0
,2149,2.732414484024048,0
,2199,3.6464831829071045,0
,2249,3.5401811599731445,0
,2299,3.593832492828369,0
,2349,2.748633623123169,0
,2399,3.1119589805603027,0
,2449,4.325018882751465,0
,2499,4.195426940917969,0
,2549,2.3173561096191406,0
,2599,3.2192940711975098,0
,2649,2.6649835109710693,0
,2699,2.544355630874634,0
,2749,1.951249122619629,0
,2799,3.9525842666625977,0
,2849,2.643213987350464,0
,2899,3.622058153152466,0
,2949,2.588240623474121,0
,2999,2.6573352813720703,0
