Fold_No,RMSE,MAE,R2,LOSS_SD,filename
1,3.737587167089559,2.0107101457663443,0.7039517240201013,3.7353728888275977,model_cv1.pkl
2,3.9186927163502996,2.021654952925804,0.6380965771024634,3.8969469414007145,model_cv2.pkl
3,3.9426347762898217,2.096810023337365,0.6989678209825878,3.933845399335769,model_cv3.pkl
4,3.631479326847303,2.033806577259278,0.7397131974659875,3.631335805749394,model_cv4.pkl
