Fold_No,RMSE,MAE,R2,LOSS_SD,filename
1,3.7014424887503363,1.9924832122979188,0.7096499613124423,3.69583222658891,model_cv1.pkl
2,3.950658910175461,2.041550686163843,0.6321681408937162,3.9277703390568526,model_cv2.pkl
3,3.978724554611004,2.1070861908118097,0.6934314682213703,3.9666782314889053,model_cv3.pkl
4,3.72165858482071,2.091937397106897,0.7266254663194582,3.7213660136483844,model_cv4.pkl
