Fold_No,RMSE,MAE,R2,LOSS_SD,filename
1,3.76068473066063,2.0397905152295053,0.7002813761161338,3.7515509749867886,model_cv1.pkl
2,4.1498493776327665,2.2165837495173855,0.5941412259907429,4.109372750925077,model_cv2.pkl
3,3.890455757264372,2.1199816382703704,0.706883148355603,3.887553011536187,model_cv3.pkl
4,3.670200154571273,2.1017031502446137,0.7341329636885965,3.668261676065926,model_cv4.pkl
