site_id,rmse,mae,nse
GRA,3.4752883911132812,1.7563378810882568,0.6259510517120361
EBF,3.7609565258026123,2.363374948501587,0.3027315139770508
DBF,3.5924198627471924,1.8415532112121582,0.8339914083480835
ENF,4.08518123626709,2.2892818450927734,0.6227623820304871
WET,3.378343343734741,1.914709210395813,0.6783359050750732
OSH,1.5606601238250732,0.7653605341911316,-0.25406527519226074
WSA,3.561408519744873,2.0764830112457275,0.4021819233894348
MF,3.86735200881958,2.418966770172119,0.5573670864105225
CRO,6.631353378295898,3.7130048274993896,0.2580180764198303
Average,0.0,0.0,1.0
