site_id,rmse,mae,nse
Average,3.936009168624878,2.083139657974243,0.612790048122406
AU-Stp,2.093810796737671,1.1784874200820923,0.47771239280700684
AU-Whr,3.7609565258026123,2.363374948501587,0.3027315139770508
CA-Oas,3.1291093826293945,1.5053608417510986,0.811113715171814
CH-Dav,6.8122968673706055,4.520712375640869,0.24131864309310913
CZ-Lnz,3.0122618675231934,1.668320894241333,0.8777110576629639
CZ-wet,3.378343343734741,1.914709210395813,0.6783359050750732
DE-Gri,4.506804466247559,2.475151300430298,0.6583836078643799
DE-Lnf,3.343151330947876,1.7386451959609985,0.843252420425415
DE-Tha,2.8622148036956787,1.6454256772994995,0.7907088994979858
ES-Amo,2.372556447982788,1.3034104108810425,-1.4605684280395508
ES-LM1,1.9170223474502563,1.2334892749786377,0.8377480506896973
FI-Sod,2.012519598007202,1.1853867769241333,0.5948431491851807
FR-Bil,4.935091018676758,2.891432523727417,0.5231667757034302
FR-FBn,3.86735200881958,2.418966770172119,0.5573670864105225
IT-BCi,6.667890548706055,3.729076862335205,0.41409146785736084
IT-CA2,6.580404758453369,3.690742254257202,-0.3376680612564087
IT-MBo,4.325308799743652,2.3980348110198975,0.6600353717803955
IT-Ren,4.456336975097656,2.4879653453826904,0.6453077793121338
RU-Fyo,2.9555423259735107,1.7593140602111816,0.7990201711654663
US-Ho1,3.023632526397705,1.847066879272461,0.7904180288314819
US-Oho,3.980593204498291,2.0401647090911865,0.8222805261611938
US-Seg,0.9166700839996338,0.5216018557548523,0.3594846725463867
US-Ton,4.00299596786499,2.389058828353882,0.22150260210037231
US-Var,3.979907751083374,2.1804535388946533,0.3190017342567444
US-Whs,0.7948008179664612,0.4614125192165375,0.6223597526550293
