month,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,encoder_index
0.0028536732,0.06293,0.0071786516,0.009835025,0.046442524,0.04459864,0.05049369,0.05710765,0.019574605,0.004267429,0.020578466,0.04936736,0.021036744,0.007190149,0.021643637,0.031147543,0.041237757,0.0033433423,0.013142632,0.074924305,0.039996635,0.014734341,0.0049604294,0.011687557,0.005311354,0.0052239257,0.027601609,0.019864982,0.01263899,0.13077113,0.051901903,0.039281722,0.02767681,0.016063873,0.003390921,-336
0.0026094627,0.06030114,0.007419297,0.010384347,0.044384744,0.041626535,0.049158826,0.04377489,0.019350218,0.0040305187,0.02055506,0.04894376,0.020532181,0.0069243866,0.020867998,0.032207638,0.04045908,0.0028599948,0.016133934,0.077460796,0.042080812,0.014340998,0.0057856315,0.011060177,0.0050567035,0.005436832,0.027087454,0.020945573,0.014171017,0.14369069,0.051416744,0.037580263,0.029576717,0.018370504,0.0034150726,-335
0.003121934,0.060050756,0.008055872,0.00791322,0.039009996,0.044492505,0.04894717,0.049144845,0.021159131,0.003907268,0.018554762,0.048221927,0.02244071,0.0069566392,0.01921778,0.03513185,0.034409594,0.0027716337,0.014768516,0.07421585,0.041776557,0.013657163,0.0057039196,0.010537641,0.0052510854,0.005706527,0.027824035,0.020538822,0.011512605,0.14591493,0.05278213,0.03986503,0.031583097,0.02139226,0.0034622632,-334
0.0030950478,0.07062467,0.008805246,0.0067427945,0.03665997,0.043171026,0.044901554,0.05305359,0.02087124,0.0041167657,0.019565245,0.049781673,0.02332023,0.006650061,0.022033097,0.02964957,0.034973927,0.0028797395,0.014359535,0.0651966,0.040347155,0.013839136,0.0054214927,0.010219424,0.0052877287,0.00592038,0.028103398,0.020219972,0.009972129,0.16067214,0.050247673,0.03912886,0.02748994,0.018980367,0.0036985122,-333
0.0032455837,0.05896741,0.00976462,0.0056561744,0.030190395,0.042053048,0.039590966,0.058026634,0.019333422,0.0038981817,0.018516183,0.05157515,0.02425986,0.005924034,0.021172438,0.027746968,0.033472907,0.0029313255,0.015047263,0.060707822,0.038663186,0.013915577,0.0061735045,0.010239189,0.0052860784,0.0061129034,0.027082488,0.02009905,0.009190436,0.19571489,0.04800426,0.036680322,0.02635763,0.02082875,0.0035713848,-332
0.0035077557,0.05532535,0.009223769,0.005448353,0.021668244,0.03551438,0.031640477,0.060955107,0.019002363,0.003398592,0.017208278,0.047842015,0.027903171,0.0056966664,0.022091527,0.03293032,0.028080845,0.0028182843,0.021198977,0.051863555,0.03561605,0.014176795,0.008069891,0.009702994,0.0051466567,0.006426744,0.02548413,0.018663712,0.006196383,0.22924882,0.04413908,0.03575014,0.028284978,0.026064651,0.0037109046,-331
0.0035467977,0.0570899,0.009804439,0.0055351476,0.022696268,0.043432236,0.037349958,0.06097789,0.020937381,0.0035378216,0.016972603,0.04936174,0.025500705,0.0058277724,0.020491762,0.03105621,0.030683592,0.002762499,0.016328458,0.060500138,0.03865634,0.013986843,0.0066796415,0.009395939,0.005399534,0.0065503065,0.028175034,0.019635972,0.008437553,0.19672231,0.048060283,0.037040353,0.028785601,0.024394214,0.0036867866,-330
0.002914042,0.045862682,0.008165387,0.0071770083,0.021343222,0.04033163,0.036636937,0.044972803,0.018906603,0.0033116166,0.019660817,0.055328317,0.024167873,0.0056630936,0.02223175,0.03228078,0.035692096,0.003034643,0.019995742,0.06538852,0.0366336,0.014222367,0.007892524,0.012529464,0.004936974,0.005662671,0.023575256,0.0206848,0.010039057,0.2108363,0.04882235,0.03630986,0.028192405,0.023341602,0.003255192,-329
0.0024808776,0.041476235,0.012082271,0.007195265,0.0109201055,0.03395831,0.028728792,0.0465756,0.014249798,0.003422201,0.023232814,0.07317172,0.025010223,0.0048879692,0.023188641,0.022449508,0.029912572,0.0030771405,0.026089413,0.053034063,0.033163186,0.013697563,0.008426324,0.014165683,0.004393206,0.0060238033,0.020677513,0.024630638,0.011708359,0.25914642,0.040582523,0.03109321,0.020457398,0.02328563,0.003404965,-328
0.0027037489,0.055416606,0.010187332,0.007332598,0.009310762,0.037978,0.03344661,0.047993597,0.017688377,0.0036747528,0.021748444,0.05940371,0.025791092,0.0056954795,0.024265863,0.02741238,0.03418768,0.003079388,0.022237303,0.057830755,0.03699706,0.0132342465,0.0073825046,0.01254155,0.004746588,0.0061057424,0.023601377,0.02102137,0.01017059,0.22758698,0.04528226,0.03507821,0.023611804,0.02175349,0.0035017033,-327
0.0026975286,0.05915905,0.009450994,0.008945887,0.007101865,0.040981743,0.03744883,0.048048995,0.020759517,0.0034691466,0.021032672,0.054478537,0.02470088,0.0060011772,0.02537086,0.031058298,0.035906937,0.0028388351,0.023851262,0.06525135,0.038721256,0.01403284,0.007534952,0.0108998325,0.00498183,0.0066837766,0.026120555,0.020917123,0.011510385,0.19291565,0.04687999,0.036077373,0.02772296,0.022652572,0.003794603,-326
0.0023254452,0.060345586,0.009190298,0.018385045,0.005204656,0.03683641,0.050148837,0.034935046,0.020858517,0.003900147,0.024545629,0.06308525,0.020156922,0.0064033126,0.027291963,0.025347235,0.049151648,0.003260839,0.019072646,0.080691636,0.04075506,0.013015118,0.0058423174,0.0153506175,0.004993728,0.006249289,0.025591874,0.02283442,0.020532465,0.15372403,0.05126161,0.03510426,0.023045303,0.016742967,0.0038198668,-325
0.0022894728,0.049555507,0.0099453535,0.016177818,0.0024709536,0.028303593,0.03985979,0.03441825,0.01934008,0.003694904,0.028012585,0.0702023,0.02277001,0.0060529215,0.029515976,0.027402123,0.039080333,0.0034460302,0.032429907,0.06880995,0.037573833,0.014547291,0.008410851,0.017129317,0.004932501,0.007156127,0.0229102,0.025689842,0.018976087,0.18443899,0.043848746,0.032606248,0.022814456,0.020923167,0.0042645456,-324
0.0027712805,0.08192138,0.00808291,0.010857298,0.013836164,0.0559537,0.056803238,0.046952542,0.02462715,0.0042166584,0.020631798,0.048000652,0.020649446,0.007307295,0.024388205,0.031240596,0.040533315,0.002785423,0.014941091,0.07436914,0.04192667,0.013778811,0.0048780413,0.00996475,0.005333851,0.006094816,0.029343624,0.020831421,0.012363019,0.122571215,0.051459756,0.04069376,0.028598683,0.017253036,0.0040393225,-323
0.0025476504,0.06731783,0.0074489084,0.013815518,0.010639459,0.06054821,0.06462429,0.039744165,0.023576565,0.003963108,0.021039503,0.04686189,0.01948328,0.0070185447,0.024457341,0.032507833,0.04314042,0.002777381,0.017870288,0.08080979,0.040714268,0.014190196,0.0058537563,0.010949664,0.0051746285,0.005965245,0.026910111,0.02105,0.013834708,0.12434144,0.05029724,0.038532972,0.03002203,0.017980905,0.0039907824,-322
0.0025447938,0.06553069,0.009203131,0.01271865,0.009290852,0.053927936,0.068293184,0.04526613,0.025534613,0.003737599,0.021484846,0.05501705,0.019407412,0.006125047,0.026567595,0.024785323,0.041210305,0.0027220943,0.017539024,0.07641307,0.03912773,0.014761697,0.0058543547,0.010542689,0.0050971727,0.006501134,0.026799368,0.023588464,0.01433798,0.13328828,0.048929546,0.035954162,0.025633018,0.01801001,0.004255092,-321
0.0025007362,0.04504087,0.0081109665,0.012264569,0.007955449,0.046308406,0.07655259,0.039533988,0.020851208,0.0039028355,0.02108643,0.053708926,0.019864334,0.0060067293,0.02328834,0.030969772,0.03784467,0.0030204316,0.01968232,0.07875915,0.037487518,0.015249045,0.007365018,0.013499974,0.004885823,0.005459022,0.023399683,0.023610758,0.0136902565,0.16058138,0.04809368,0.0360367,0.02990453,0.019668847,0.0038150335,-320
