encoder_index,month,day,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,GPP_NT_VUT_REF,encoder_attention
-315,0.013281653,0.009685911,0.0038390553,0.002638471,0.07154672,0.025226273,0.111333385,0.0151719395,0.010800702,0.017530737,0.024988357,0.016387688,0.012051466,0.02594938,0.010113927,0.021755408,0.0044425754,0.0019593332,0.017920932,0.011701317,0.012784074,0.003256269,0.016188279,0.010419022,0.010520535,0.009228346,0.016125076,0.010928,0.0027983966,0.01585243,0.003190858,0.028323663,0.014647584,0.014240117,0.013802883,0.34071752,0.04865171,0.000458392
-314,0.013379441,0.008439424,0.006452399,0.003337912,0.15488759,0.033206463,0.12651229,0.015458738,0.013138075,0.020482194,0.035671752,0.027588164,0.014853593,0.026136858,0.011886925,0.024936935,0.0032062079,0.0032172913,0.021752963,0.01537231,0.015790576,0.0050065503,0.020943306,0.020127652,0.012872163,0.009149589,0.020276299,0.005867751,0.0021045965,0.02036066,0.0029139325,0.03612151,0.020458965,0.015336774,0.0158885,0.12730646,0.06955717,0.00031467451
-313,0.01387364,0.008998963,0.0059449766,0.0032109872,0.1276409,0.03210486,0.12373799,0.015018811,0.0127655445,0.020138828,0.034362122,0.025417771,0.014254895,0.027332013,0.01121799,0.024763906,0.0033370773,0.0027067708,0.020085098,0.014540953,0.015345298,0.0045173117,0.019992275,0.01724025,0.012500912,0.009374944,0.019624965,0.0072479504,0.0022713072,0.019748658,0.0030539525,0.036101714,0.01921867,0.016236525,0.015358339,0.17552768,0.06518519,0.00047897807
-312,0.013912362,0.009592935,0.0054858807,0.0030138164,0.12240139,0.031716183,0.121087216,0.018561535,0.012553119,0.019730102,0.032972943,0.024421562,0.014275196,0.026818909,0.01047496,0.024915086,0.0033913602,0.0028272672,0.020477857,0.014954531,0.015111946,0.004688186,0.019645864,0.015967427,0.012266119,0.009221991,0.019413289,0.007956871,0.002238634,0.019370291,0.002933037,0.03423359,0.018978905,0.015621301,0.015353459,0.18663952,0.066775315,0.0005500452
-311,0.014399378,0.009857209,0.0055574877,0.0029801053,0.121893756,0.03188164,0.11630599,0.014896982,0.012637615,0.020253655,0.03343391,0.024273282,0.014243371,0.027392127,0.010996473,0.02544939,0.0036031355,0.0027378572,0.020473357,0.014838423,0.015221041,0.0044648494,0.019745577,0.015389499,0.012349985,0.009456367,0.019607207,0.0079216575,0.002215391,0.01961105,0.0029731106,0.035345994,0.019232715,0.015980963,0.015450929,0.19139308,0.06553545,0.00052265654
-310,0.014192013,0.0101120025,0.005819452,0.0029473274,0.12607168,0.032137975,0.114361264,0.014895993,0.012638146,0.020111198,0.034263037,0.024363663,0.014451624,0.026684666,0.011082509,0.02553787,0.0035180761,0.0027528417,0.021010553,0.01514639,0.015240259,0.00461532,0.019779485,0.015463155,0.012327904,0.009273479,0.019724948,0.0078626955,0.0022573494,0.019937623,0.0028904076,0.03602395,0.019896714,0.016121639,0.015538046,0.1832359,0.06771286,0.0005835534
-309,0.014185311,0.010455057,0.0055391653,0.0029879266,0.122468114,0.0317481,0.117898785,0.0150956465,0.012615805,0.020144181,0.033363048,0.023663128,0.014444737,0.026551172,0.010599221,0.025085323,0.0036864905,0.002716683,0.02092763,0.014928037,0.015162723,0.0044909255,0.019613681,0.014682969,0.012270873,0.009316516,0.019616786,0.008005824,0.0022763251,0.019432796,0.0028416438,0.034629155,0.020176904,0.016129067,0.015210582,0.18986624,0.06717354,0.00055342773
-308,0.014469836,0.009982906,0.0052810186,0.003018756,0.12005738,0.031996086,0.121748,0.015002239,0.0127744265,0.020680431,0.032610647,0.022913499,0.013953005,0.02660144,0.0106606325,0.025266375,0.0039836466,0.002642018,0.019600207,0.014367381,0.015216097,0.004216175,0.019554237,0.014534143,0.012446157,0.0098554455,0.01940571,0.007826773,0.0022005523,0.019198613,0.0030174349,0.034927037,0.018795358,0.016655287,0.015177413,0.19567099,0.063692644,0.00049055275
-307,0.014051525,0.009526089,0.005412037,0.0029576623,0.12823544,0.032642365,0.1170611,0.014755836,0.012659594,0.020463614,0.032265868,0.023926653,0.013788078,0.027276818,0.010898707,0.02552116,0.0036881384,0.0026307951,0.020009182,0.014607042,0.015172854,0.0044927853,0.019900333,0.0166237,0.012346056,0.009396281,0.019487984,0.0076692365,0.0022893099,0.019511309,0.0030786793,0.03532449,0.018095538,0.016123021,0.015770039,0.1904736,0.061867077,0.00047563584
-306,0.0138631575,0.010499057,0.0056041656,0.002870786,0.122819394,0.033102624,0.11346221,0.014838459,0.012279643,0.019733405,0.03267535,0.021187738,0.014045704,0.02406185,0.010777423,0.0253007,0.0036961914,0.0025765288,0.02100282,0.014836627,0.014883648,0.004621544,0.019336812,0.014783602,0.011945282,0.008887376,0.019381203,0.008159782,0.0024233812,0.01964283,0.0028001382,0.034428366,0.019699391,0.016082246,0.015617291,0.2025089,0.06556428,0.0005336534
