month,day,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,GPP_NT_VUT_REF,encoder_index
0.012415651,0.008654097,0.017947571,0.0031088477,0.07618788,0.012276693,0.079462916,0.016315639,0.014790344,0.014640706,0.05186475,0.019646974,0.02657216,0.025487619,0.020986669,0.039531402,0.0012362109,0.01094794,0.024301374,0.019297177,0.023648826,0.002795221,0.021051625,0.012256394,0.018639447,0.015286346,0.009817649,0.008681786,0.003169413,0.009115947,0.0038367752,0.03288385,0.00953645,0.03753874,0.018086758,0.13214912,0.14583305,-336
0.012121047,0.008996707,0.014916819,0.0028432054,0.061285917,0.012641329,0.07711129,0.0154330265,0.013610697,0.015858388,0.045130227,0.018014865,0.02395946,0.0282622,0.019769274,0.037107848,0.0015501879,0.009102918,0.019561734,0.017410398,0.021748187,0.0021631173,0.019128311,0.010901763,0.016761493,0.015288043,0.0088449,0.010641628,0.00341792,0.008230584,0.0037534232,0.029491205,0.008684261,0.036497883,0.017244041,0.20460463,0.12791114,-335
0.012291653,0.008712672,0.017896803,0.0030220887,0.087239236,0.0136576565,0.08371662,0.01679879,0.014692009,0.017301627,0.050193325,0.02075018,0.023357091,0.02270862,0.021720797,0.037706953,0.0014942662,0.009782586,0.025095636,0.019565333,0.023810728,0.0026426387,0.02133479,0.012096924,0.018404782,0.0153559055,0.009880293,0.007976226,0.0029183563,0.008993823,0.0035837283,0.033484824,0.00971913,0.039885394,0.01821968,0.12089081,0.14309798,-334
0.01203379,0.008862906,0.017515166,0.0030288252,0.088743605,0.01358198,0.08803031,0.017010862,0.014631567,0.016593907,0.050865382,0.020416373,0.02395667,0.021735584,0.02087844,0.036687143,0.0014895779,0.010073733,0.02682621,0.01971352,0.023799298,0.0027615442,0.021454152,0.012075807,0.018403685,0.015218848,0.010302347,0.0076082847,0.0028343953,0.00894136,0.0035795416,0.032963555,0.009726912,0.038828336,0.017970487,0.11058945,0.15026647,-333
0.012132387,0.0085367365,0.01664879,0.0030693398,0.08923735,0.013712058,0.08879815,0.01655373,0.014691651,0.018096447,0.048180282,0.0207219,0.0230045,0.02326018,0.02060748,0.037329637,0.0015754107,0.009651238,0.024437647,0.019379783,0.023672622,0.0025999288,0.021346733,0.01213282,0.018113684,0.015316098,0.009742212,0.007790754,0.0028457132,0.008907979,0.0036183817,0.03431318,0.009698433,0.03926366,0.018076684,0.12575789,0.13717856,-332
0.012213641,0.008663923,0.018194037,0.0030452348,0.084931955,0.012416116,0.07770311,0.015319663,0.014620557,0.015792895,0.050261937,0.020076636,0.025522735,0.026185382,0.021874914,0.040043607,0.0013563317,0.009878809,0.02423173,0.019396301,0.023834081,0.0026382445,0.021550816,0.012288257,0.019113045,0.014905787,0.0094686095,0.008566964,0.0033524886,0.008954256,0.00379391,0.034052934,0.009296027,0.039598916,0.018526085,0.1335999,0.13473023,-331
0.011841591,0.008838479,0.017933562,0.003153742,0.08844945,0.012370091,0.08239695,0.015471575,0.014434701,0.016426085,0.05076161,0.019705046,0.025402363,0.024123978,0.020644134,0.038103517,0.0014165546,0.009909499,0.024645653,0.019419735,0.02357277,0.0027623451,0.02111831,0.011999939,0.018183228,0.014809922,0.009530854,0.00814177,0.0031492445,0.008875387,0.0035960095,0.033488445,0.00948585,0.039597657,0.018129772,0.1268237,0.14128654,-330
0.014087194,0.009223725,0.015121047,0.0026217136,0.06915918,0.011052416,0.08400046,0.016095227,0.014365234,0.016119568,0.04476504,0.022320671,0.020175876,0.027447812,0.023348501,0.0367576,0.0020224284,0.008664518,0.02117821,0.018575108,0.02361889,0.0020058348,0.020856958,0.011879322,0.018797748,0.016811473,0.009591193,0.00926183,0.0028850336,0.008460375,0.003878852,0.03230405,0.008889173,0.039892003,0.017863367,0.17285705,0.12304535,-329
0.0124118915,0.008810072,0.017247906,0.0030433217,0.063283175,0.011546411,0.07793034,0.016200123,0.014077764,0.013615055,0.050967548,0.01924115,0.027000422,0.028686864,0.021384872,0.03870951,0.0013042589,0.010342476,0.022994407,0.018444404,0.023063553,0.0024054018,0.020266557,0.011822862,0.018564852,0.015621272,0.009855652,0.0096694175,0.003307508,0.008763115,0.004016096,0.0303627,0.009271109,0.034920167,0.017422056,0.15574716,0.14767861,-328
0.0134257395,0.008906571,0.017460726,0.0029653546,0.06631034,0.011474011,0.08226269,0.016514875,0.014356745,0.013843045,0.05197754,0.020506853,0.02533956,0.027295103,0.021459818,0.039103333,0.0014414344,0.010097851,0.022262633,0.019001944,0.023666961,0.0023975659,0.020658173,0.012028178,0.018733233,0.016233025,0.009778189,0.009138875,0.0030436704,0.008800076,0.0039743837,0.032306127,0.009321394,0.037576355,0.017692972,0.15051208,0.13813254,-327
