"SITE_ID","SITE_IGBP","month","TA_F_avg","VPD_F_avg","P_F_avg","NETRAD_avg","NEE_VUT_REF_avg","NEE_VUT_REF_QC_avg","NEE_CUT_REF_avg","NEE_CUT_REF_QC_avg","GPP_NT_VUT_REF_avg","GPP_DT_VUT_REF_avg","GPP_NT_CUT_REF_avg","GPP_DT_CUT_REF_avg","RECO_NT_VUT_REF_avg","RECO_DT_VUT_REF_avg","RECO_NT_CUT_REF_avg","RECO_DT_CUT_REF_avg","ET_avg","BESS-PAR_avg","BESS-PARdiff_avg","BESS-RSDN_avg","CSIF-SIFdaily_avg","CSIF-SIFinst_avg","PET_avg","Ts_avg","Tmean_avg","prcp_avg","vpd_avg","prcp-lag3_avg","ESACCI-sm_avg","b1_avg","b2_avg","b3_avg","b4_avg","b5_avg","b6_avg","b7_avg","EVI_avg","GCI_avg","NDVI_avg","NDWI_avg","NIRv_avg","kNDVI_avg","Percent_Snow_avg","Fpar_avg","Lai_avg","LST_Day_avg","LST_Night_avg","CO2_concentration_avg","dataset","MODIS_IGBP","MODIS_PFT","koppen_sub","koppen","hemisphere","LOCATION_LAT","LOCATION_LONG"
"AR-SLu","MF",11,22.858,16.296,0.81,173.9497797,-6.00411,0.968056,-5.96293,0.970139,10.4461,10.7219,10.2667,10.7466,4.35485,4.69055,4.26435,4.7534,5.8108234,147,39,322,0.10822074,0.26523668,-0.01190903,298.02554,295.46375,0.001110932,1.6364233,0.006051082,0.14072989,0.10894999,0.24585332,0.05752999,0.094583325,0.29778334,0.2814067,0.19225997,0.2331288,1.5993953,0.38592288,-0.06737776,0.09486858,0.14786734,0,0.38,0.8,311.82,288,388.235,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",12,26.557,23.211,1.452,189.600544,-6.22158,0.956989,-6.21564,0.956989,10.0834,10.7608,9.96545,10.8208,3.69831,4.30853,3.74785,4.52984,5.165505,157,38,344,0.09730604,0.23855111,-0.014495663,303.0575,299.54413,0.000741054,2.4140742,0.004382919,0.14455558,0.11138387,0.24245161,0.05899677,0.09506773,0.29779354,0.2889032,0.20476452,0.22321212,1.5519823,0.3706127,-0.08736732,0.08984783,0.1366967,0,0.35,0.7,316.2,291.4,388.75,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-Vir","ENF",1,25.919,14.784,1.452,189.1051942,2.4987,0.877016,2.553,0.891129,9.53072,6.34549,9.30065,6.34549,12.2756,6.78025,12.6908,7.10146,9.281486,150,47,324,0.3494609,0.9085131,-0.01105988,301.64825,300.6665,0.001870857,1.7350304,0.009305812,0.26168758,0.06387419,0.3275161,0.031280644,0.070906445,0.3460742,0.2344516,0.11076774,0.44647938,3.620046,0.67362356,0.16564138,0.22062938,0.42500442,0,0.69,3.1,309.94,292.14,391.225,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AR-Vir","ENF",2,27.029,13.938,2.527,150.5470389,7.44355,0.947557,7.41292,0.954023,9.59927,8.24366,9.19908,8.24366,16.9636,14.1833,15.72,15.1568,6.7530193,121,52,255,0.26720712,0.72544396,-0.00967826,302.7314,301.5807,0.002279734,1.6173695,0.006079263,0.2692186,0.06477931,0.2922965,0.031231033,0.06542069,0.32060343,0.23018274,0.11693103,0.39317164,3.470528,0.6372466,0.1188409,0.18631247,0.38526174,0,0.61,2.5,311.02,292.78,391.4,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AR-Vir","ENF",3,24.9195,12.4605,3.9145,142.08231355,1.60475,0.858535,1.5817025,0.8817205,13.8881,7.806275,13.31903,7.7112,15.7005,8.65984,14.3857,7.63387,7.2362366,118,36,254.5,0.313996195,0.88879205,-0.007453259,298.5054,297.933225,0.0027833935,1.10024945,0.010990424,0.29710038,0.0450354815,0.30415484,0.0219370935,0.054498387,0.309704825,0.190743535,0.082679023,0.45933421,4.60410225,0.7404052,0.22903804,0.226034135,0.499046595,0,0.745,3.15,305.17,291.36,389.9825,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AR-Vir","ENF",4,20.4675,8.387,4.631,85.57819323,1.635354,0.819444,1.5061405,0.838889,10.13185,6.515125,9.814505,6.570175,11.44755,7.297995,11.40915,6.432765,4.9795215,81,29.5,173.5,0.26116757,0.76350602,-0.0051999335,293.69821,293.63446,0.004823732,0.68947115,0.011155757,0.320321715,0.0435541665,0.279762505,0.0217666665,0.050094995,0.28902751,0.18101833,0.076498332,0.42847745,4.6103293,0.730016295,0.21436794,0.204560685,0.48761016,0,0.715,2.65,299.35,287.34,390.8475,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AR-Vir","ENF",10,20.053,6.849,3.709,140.7111408,-3.10334,0.803763,-3.09976,0.825941,12.578,7.94774,12.6637,7.95203,9.48922,2.0219,9.47568,2.01435,8.240307,119,41,260,0.25308308,0.65763813,-0.006693386,292.3426,292.14008,0.00380671,0.65856665,0.01381997,0.37036404,0.04885806,0.25399998,0.023638709,0.054706447,0.27477098,0.19271934,0.0966129,0.37418348,3.6415005,0.6769556,0.13657345,0.17206027,0.4286881,0,0.64,2.4,301.3,285.58,387.55,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AR-Vir","ENF",11,22.824,11.504,3.075,176.6007384,-0.872656,0.865972,-0.830538,0.879861,13.011,8.68659,13.3672,8.71749,12.3491,3.56659,12.0029,4.91722,9.541467,143,40,313,0.31803423,0.7991435,-0.009438761,296.23062,295.66296,0.000931888,1.2130878,0.014042678,0.30845198,0.057359993,0.29386336,0.027753327,0.06541999,0.31567,0.21955997,0.111049995,0.41336912,3.4938533,0.6734622,0.14476806,0.19788575,0.42482123,0,0.67,2.8,304.5,287.16,388.235,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AR-Vir","ENF",12,26.039,13.026,5.026,170.025408,1.4548,0.942204,1.47385,0.950269,15.5007,10.0669,15.6382,10.0271,17.2649,6.83542,17.2882,6.80517,8.843316,132,48,282,0.3697338,0.93288314,-0.007714525,298.17078,297.97382,0.007306484,0.91176283,0.012045081,0.34871957,0.05444839,0.31505162,0.026561288,0.06672258,0.32610002,0.21619034,0.10154516,0.4514909,3.720321,0.70482177,0.18570562,0.2222497,0.4595932,0,0.7,3.2,306.02,291.66,388.75,"FLUXNET","SAV","SA","Cfa","Temperate","S",-28.2395,-56.1886
"AT-Neu","GRA",5,11.751,5.18466666666667,2.10633333333333,106.626501275556,-3.62938222222222,0.965501666666667,-3.63094222222222,0.971176777777778,13.9762555555556,12.3292333333333,13.9358888888889,12.3310666666667,10.2014388888889,7.37435666666667,10.3298877777778,7.45165222222222,5.84903521111111,89.5555555555556,54.4444444444444,196.222222222222,0.250025401111111,0.636168637777778,-0.00865806144444444,276.537493333333,277.398531111111,0.00579799166666667,0.154170318222222,0.0131334468888889,0.293182004444444,0.0474389562222222,0.255926567777778,0.0293968503333333,0.0563102962222222,0.233542978888889,0.14309844,0.068634052,0.394903047777778,3.63650054444444,0.688260196666667,0.282290826666667,0.176394341111111,0.441780258888889,3.12110922222222,0.62,2.26666666666667,290.56,272.842222222222,383.197222222222,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AT-Neu","GRA",6,15.4226,6.0951,2.7706,116.751511396,2.03965,0.9600693,2.049405,0.9560417,10.988061,9.036799,11.115745,9.033613,13.02494,9.297536,12.78975,9.164686,6.17821056,102.3,55.2,225,0.309587453,0.761596542,-0.0106071844,281.142573,282.052152,0.0069107059,0.229797275,0.0165131563,0.282756754,0.0423596541,0.26832306,0.0238568916,0.0541343257,0.250582296,0.154002824,0.0717119454,0.420329792,3.96639783,0.727438077,0.270720036,0.195136167,0.484739017,0,0.673,2.62,294.2,277.6,382.5185,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AT-Neu","GRA",7,16.5781111111111,5.733,3.46077777777778,118.6909542,-0.514015394444444,0.967741888888889,-0.5222228,0.966995333333333,14.1351555555556,11.5062288888889,14.2694444444444,11.5502033333333,13.5029888888889,9.12386,13.6952222222222,9.33351222222222,6.7360161,100.888888888889,50.1111111111111,222.666666666667,0.31895481,0.80342725,-0.0121332596666667,283.796632222222,283.957996666667,0.007448612,0.274761894444444,0.0203230841111111,0.27523197,0.0353693288888889,0.272912057777778,0.0189953525555556,0.0489623623333333,0.248646352222222,0.147552885555556,0.0641776653333333,0.442218387777778,4.58515914444444,0.770455266666667,0.298018585555556,0.210323855555556,0.532432077777778,0,0.701111111111111,2.93333333333333,294.875555555556,279.675555555556,382.213333333333,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AT-Neu","GRA",8,15.8434,4.9815,3.3344,93.338762048,2.1436962,0.9573926,2.124916,0.9522178,10.011623,7.98678,9.810817,7.978398,12.117467,7.899199,12.138487,8.105909,5.70238033,88.4,42.4,195,0.257063436,0.692468059,-0.0104539274,283.130483,283.295613,0.0073408964,0.244483721,0.0219681589,0.274647533,0.0335254834,0.247336913,0.0179878369,0.0449507965,0.232256534,0.139127753,0.0615157498,0.406700157,4.50311111,0.760664312,0.279497895,0.18833796,0.521612704,0,0.709,2.71,293.612,279.13,381.1915,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AT-Neu","GRA",9,11.7292,3.5184,1.7601,57.952360229,1.0338061,0.95625,1.0279988,0.9553472,8.691889,6.430535,8.797263,6.459042,9.914701,5.357305,9.827919,5.480412,4.49017479,72,30.9,160.5,0.187903088,0.559780781,-0.0085314334,279.145704,279.521377,0.0041774871,0.185968897,0.0192349399,0.261811158,0.0325748324,0.22127149,0.0184964985,0.0426653319,0.207822332,0.1241826679,0.0548578309,0.368975234,4.22326778,0.743196927,0.280682898,0.164615389,0.502294216,0.5833333,0.687,2.29,289.242,276.364,380.6285,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AT-Neu","GRA",10,7.1864,2.2899,1.5242,17.6928053581,2.51408,0.9442876,2.515756,0.9412635,4.338086,2.628357,4.348121,2.493816,7.006807,2.75632,6.828252,2.663922,2.85315715,47.7,20.9,106.6,0.1025843099,0.341258502,-0.0051834121,274.215601,275.086871,0.003739476,0.1238338725,0.0152578598,0.274556386,0.0373630776,0.187930725,0.0224813221,0.0431899873,0.182991519,0.1127698866,0.0517626232,0.302085182,3.51152727,0.670582201,0.248812172,0.1261197263,0.423354617,8.609677477,0.6,1.29,283.464,271.946,380.699,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AT-Neu","GRA",11,2.3836,1.4117,1.4827,-12.301760012,2.295973,0.9600693,2.273178,0.9582639,1.4172174,1.2346113,1.3625786,1.2366173,3.707653,2.140739,3.703955,2.2707337,1.17774517,23.5,12.4,51.8,0.0426207558,0.159625138,-0.0019378649,268.08934,269.284434,0.0041182631,0.0668816148,0.0120352261,0.28952578,0.0394841843,0.15087359,0.0244859876,0.0393768203,0.15434857,0.1008457069,0.0508507969,0.230986946,3.00763781,0.58980446,0.197591123,0.0886117235,0.336847676,27.29333314,0.388,0.63,275.902,267.292,381.435,"FLUXNET","MF","MF","Dfb","Cold","N",47.11667,11.3175
"AU-Ade","WSA",1,27.444,8.4995,11.9175,158.72632025,-1.771681,0.997984,-1.7535665,0.997984,7.77782,8.760885,7.77315,8.760885,5.99693,7.47483,5.99693,7.45839,7.61294275,115,62.5,228,0.307116895,0.85455037,-0.0069971945,301.341115,300.66366,0.011975438,0.63091897,0.0282292865,0.31110881,0.074820827,0.304098055,0.035873212,0.082088385,0.348107525,0.26909004,0.135813885,0.386308795,2.7085332,0.605290585,0.061713135,0.18409142,0.35101793,0,0.58,2.05,305.39,296.73,384.65,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",2,26.512,6.772,11.002,145.196189,-3.99813,0.991815,-3.99813,0.991815,8.64581,9.29053,8.64581,9.29053,4.77119,5.24254,4.77119,6.01648,6.3050294,106,63,208,0.33895594,0.9678286,-0.005852185,300.18365,299.623,0.0137373,0.5264906,0.038428884,0.33855566,0.074747525,0.32655627,0.035366748,0.0833562,0.35874048,0.26068223,0.13177322,0.41727656,2.9401946,0.62790614,0.113811135,0.20525122,0.3757325,0,0.62,2.3,307.38,296.68,385.6,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",3,27.622,12.116,4.6845,186.96429555,-2.0697245,0.9301075,-2.0276895,0.929099,7.531645,8.122285,7.55764,8.122285,5.54279,6.213025,5.54279,6.39723,8.0957158,130.5,46.5,271.5,0.29289702,0.8494919,-0.008824401,301.949705,301.011825,0.004383689,1.07484647,0.031618795,0.3095268,0.06670835,0.308949185,0.032033685,0.0739385375,0.341550485,0.235463795,0.112161502,0.41223857,3.1797539,0.6446449,0.134749625,0.199285135,0.39326111,0,0.61,2.15,306.86,296.37,385.23,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",4,27.6335,17.657,0.5095,153.60944695,-1.55803,0.960764,-1.530175,0.9586805,4.61152,4.070755,4.677575,4.070755,3.357775,1.594175,3.357775,1.669655,8.1100945,127,32.5,273,0.19475982,0.567934025,-0.0111910815,302.14459,301.40157,0.000378506,1.7582726,0.0200218645,0.240236635,0.074938327,0.27422165,0.035138333,0.070218332,0.33675997,0.253973325,0.125701665,0.3412476,2.9056414,0.56981737,0.038570966,0.15684157,0.31479667,0,0.55,1.6,308.52,294.27,385.765,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",5,25.511,20.48,0,108.5568377,-0.437493,0.973118,-0.376268,0.978495,2.45296,1.85983,2.41996,1.85983,2.14752,0.635537,2.14752,0.781416,3.6290338,115,25,250,0.0939626,0.2768466,-0.013264962,299.65668,299.0135,7.18e-07,2.0233147,0.007365714,0.17298546,0.08720645,0.23273225,0.03953871,0.068325795,0.32204837,0.28490964,0.1622871,0.24880128,2.3990104,0.4519419,-0.102740705,0.1061471,0.20295471,0,0.42,1,310.76,289,385.53,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",6,25.198,19.386,0,93.8713357,0.000480109,0.9875,0.00560214,0.9875,1.2213,1.01142,1.24046,1.01142,1.24522,0.701366,1.24522,0.687148,0.27313182,104,25,224,0.03586152,0.10777497,-0.012638941,299.38934,298.69562,1.86e-06,1.9225978,0.000636264,0.12416164,0.09794,0.20180002,0.04340333,0.070356674,0.28522,0.28333002,0.19805999,0.17732586,1.8685216,0.34663737,-0.16802646,0.069927454,0.11960671,0,0.31,0.7,313.92,290.36,385.345,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",7,24.378,20.775,0,92.6132464,-0.645548,0.990591,-0.650681,0.989919,1.89,1.72006,1.87553,1.72006,1.21373,0.797999,1.21373,0.824111,0.20624307,110,23,240,0.040249944,0.12163823,-0.01321543,298.28937,297.61407,8.78e-07,2.0447283,3.45e-06,0.11303991,0.10936451,0.22417416,0.04800968,0.07800967,0.3156387,0.3101645,0.21734516,0.1887902,1.8739585,0.34424075,-0.16094002,0.07716533,0.11795439,0,0.32,0.7,314.18,288.48,384.505,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",8,25.695,22.664,0.039,110.0056089,-1.12603,0.992608,-1.15246,0.989919,2.38153,2.10971,2.39923,2.10971,1.24668,0.849247,1.24668,0.784925,1.4071547,117,31,255,0.03905738,0.115482286,-0.015056983,300.4149,299.30396,5.16e-06,2.3137255,7.9e-06,0.109675996,0.11894839,0.23338385,0.053632252,0.085370965,0.3285,0.32801935,0.23538706,0.18519263,1.7361574,0.32505,-0.16856943,0.07581482,0.10533757,0,0.29,0.7,315.86,289.16,383.935,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",9,28.26,19.268,0.108,132.4031619,-0.255875,0.989583,-0.290217,0.988889,2.27079,2.27996,2.26346,2.27996,2.00416,1.43854,2.00416,1.47896,3.9247591,124,41,265,0.042239558,0.11978536,-0.012278549,304.69556,302.62524,5.57e-05,2.23771,6.17e-05,0.13384928,0.12328667,0.24052331,0.05497,0.08862332,0.3435766,0.35457003,0.2579033,0.18692277,1.7146881,0.32225066,-0.19127515,0.07751049,0.10348732,0,0.3,0.8,319.74,294.18,383.595,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",10,29.753,20.89,0.681,156.4267473,-0.324132,0.994624,-0.344375,0.988575,3.24054,3.24559,3.18567,3.24559,2.8146,2.82959,2.8146,2.96458,5.4691777,131,49,279,0.06431642,0.17449795,-0.013810568,307.0471,304.55933,7.59e-05,2.4881253,0.000136717,0.17167002,0.13248385,0.2583645,0.06058387,0.101332255,0.37234837,0.3961645,0.2965806,0.19652116,1.5517172,0.3215715,-0.21111177,0.08319781,0.10311058,0,0.29,0.8,319.18,296.3,383.52,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",11,28.5205,13.2005,5.2955,152.26455345,0.11858505,0.9798615,0.13184505,0.9788195,4.549375,5.489095,4.52379,5.489095,4.67068,6.24685,4.66223,6.401045,7.3164675,117.5,53.5,243,0.138766703,0.371802085,-0.0096768645,304.79728,302.74176,0.005021252,1.29333875,0.0057375845,0.249260475,0.1029931155,0.26280245,0.047297097,0.089404097,0.34977654,0.34043552,0.22330467,0.262558925,1.95431695,0.438258305,-0.126287117,0.1158752425,0.194586115,0,0.385,1.15,314.92,296.86,383.2475,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-Ade","WSA",12,27.7095,9.731,7.1005,155.1015873,-1.664245,0.997984,-1.672945,0.996976,6.900605,7.41232,6.922765,7.41232,5.401585,6.357195,5.331195,6.36074,7.84314085,121.5,61.5,243,0.34318316,0.931636075,-0.0075770765,302.369475,301.1687,0.0112325975,0.7976859,0.0169238295,0.290742815,0.095818377,0.28235502,0.044131316,0.089334558,0.353593495,0.32367611,0.20916227,0.3059557,2.16807555,0.4938157,-0.06698377,0.13966016,0.240617715,0,0.58,1.95,311.08,297.12,383.9325,"FLUXNET","GRA","GRA","Aw","Tropical","S",-13.0769,131.1178
"AU-ASM","SAV",1,30.2726666666667,32.3103333333333,2.26033333333333,167.165255833333,0.487495333333333,0.956989,0.485203,0.958333,0.538555,0.383753,0.528147666666667,0.456903333333333,1.02372533333333,1.061885,1.01332666666667,1.03033233333333,3.16664943333333,144.666666666667,45.3333333333333,312.333333333333,-0.002600557,-0.00695751033333333,-0.0158955853333333,306.838106666667,303.90814,0.001976085,3.22423776666667,0.00385639233333333,0.11014217,0.127697838,0.20432475,0.0395322553333333,0.0710473066666667,0.297455916666667,0.342633366666667,0.285841923333333,0.11464321,1.87634323333333,0.23203329,-0.252384246666667,0.0472226693333333,0.054156474,0,0.16,0.3,321.42,296.84,393.668333333333,"FLUXNET","CSH","SH","BWh","Arid","S",-22.283,133.249
"AU-ASM","SAV",2,27.9356666666667,26.6676666666667,1.61566666666667,157.8373961,0.298702333333333,0.962524,0.306923333333333,0.964687666666667,0.630943,0.581351666666667,0.626059666666667,0.582809333333333,0.937865666666667,0.793990333333333,0.933282666666667,0.822733333333333,2.49188233333333,136,41,292.666666666667,0.000764101666666667,0.00216868766666667,-0.0145059753333333,303.941936666667,301.54161,0.00180894366666667,2.66901393333333,0.00482069066666667,0.117478503333333,0.116837151333333,0.195980743333333,0.0368477016666667,0.0654477353333333,0.285450736666667,0.326675826666667,0.269454876666667,0.121735354666667,1.99045196666667,0.25216438,-0.25083524,0.0495444476666667,0.0640818233333333,0,0.176666666666667,0.3,320.6,295.6,393.913333333333,"FLUXNET","CSH","SH","BWh","Arid","S",-22.283,133.249
"AU-ASM","SAV",3,26.7346666666667,24.9113333333333,0.473333333333333,147.5157258,-0.117354133333333,0.987903,-0.1163464,0.989471,1.33237733333333,1.36815633333333,1.334738,1.363935,1.21603366666667,1.19658333333333,1.21943833333333,1.25665933333333,3.2885719,131.333333333333,33.6666666666667,284.666666666667,0.00575652466666667,0.0164523083333333,-0.0140840983333333,302.565933333333,300.484183333333,0.000867505333333333,2.51006816666667,0.00465252233333333,0.110779258333333,0.105061288,0.189178476666667,0.034859141,0.0607913946666667,0.270859133333333,0.299832223333333,0.242731166666667,0.13534902,2.10946303333333,0.285874743333333,-0.226405413333333,0.0543193066666667,0.083071062,0,0.216666666666667,0.4,317.353333333333,294.54,394.426666666667,"FLUXNET","CSH","SH","BWh","Arid","S",-22.283,133.249
